symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name
sh603861,2026-03-02,67.26,21.7,12.1,9.92,-18.87,1.99,783055415.26,1.320248243945792,10.04296455424274,13.175866835138702,0.07846794222040898,0.01446,-0.0059,0.02587,0.01933,0.6,0.45,0.0,62.99,69.73,71.26,61.47,11,趋势中继原型
sz002493,2026-03-02,67.17,14.37,5.62,1.23,-9.06,1.46,1381075234.5899997,1.3618562977186592,2.6923076923076827,-1.330449334677617,-0.1451612559177604,0.00573,0.01632,0.0338,0.05655,0.75,0.6,0.0,47.78,98.95,41.31,78.73,12,趋势中继原型
sh600111,2026-03-02,66.09,20.65,17.98,10.82,-17.98,-1.67,12432861771.89,1.2510780526028544,-1.057692307692304,-8.136610890963183,-0.009007436661380597,0.04072,0.03704,0.06811,0.06253,0.6,0.65,0.0,66.89,95.71,20.09,75.04,13,趋势中继原型
sh603626,2026-03-02,65.91,22.96,4.28,3.89,-15.75,-5.92,824654811.9800001,0.9435548453218977,-1.1514933429291108,1.142900057464125,-0.006911302034745326,0.03328,0.03891,0.02284,0.03918,0.7,0.65,0.0,50.27,98.5,44.65,51.96,14,趋势中继原型
sh605117,2026-03-02,64.88,10.4,11.65,7.65,-16.49,9.83,1779965202.0000002,1.8845161030279216,10.539474949514393,8.98784560396141,-0.0030513228932215197,0.00402,0.03015,-0.00033,0.03124,0.55,0.75,0.0,48.06,69.6,65.96,96.15,15,趋势中继原型
sz002531,2026-03-02,64.86,37.5,8.0,5.86,-14.98,-6.45,462346653.7900001,0.8167778087405514,-2.4703557312252933,-9.2114910470065,0.007289176427198063,0.05222,0.04367,0.06067,0.04733,0.75,0.65,0.0,71.31,100.0,25.37,21.22,16,趋势中继原型
sz001400,2026-03-02,64.52,10.89,9.51,11.45,-19.77,4.15,298506240.99999994,1.0022248334673884,9.998351467194189,21.029464043936024,1.1891244123435263,0.01521,0.01017,0.02371,0.0433,0.6,0.7,0.0,46.78,90.12,69.59,15.41,17,趋势中继原型
sh603318,2026-03-02,63.97,11.23,12.32,12.17,-13.72,9.98,663273566.8100001,6.141526122701977,9.975062344139651,-3.488362058702073,0.20994383249692983,0.03715,0.01829,0.06809,0.05397,0.35,0.4,0.0,49.72,74.29,62.06,75.36,18,趋势中继原型
sh605376,2026-03-02,63.87,41.21,6.99,-2.43,-16.87,-8.57,1357628413.8200002,0.9573067197562649,-1.1414704296243139,-9.726265921207151,0.010000209322224785,0.02958,0.02314,0.04494,0.00293,0.65,0.65,0.0,71.19,85.34,24.49,65.24,19,趋势中继原型
sz002597,2026-03-02,63.33,25.59,18.79,2.79,-19.43,-5.85,438749386.9600001,0.9090077146891429,-2.824858757062154,-1.0857545290278168,0.07133651964020538,0.04474,0.03126,0.04911,0.04059,0.7,0.55,0.0,66.74,100.0,24.2,22.57,20,趋势中继原型
sz002531,2026-03-03,82.39,32.48,7.87,1.86,-14.98,-2.18,990740617.4899999,1.6471774558827486,4.55927051671734,6.644632327357307,0.018310022603048592,0.04932,0.04089,0.04083,0.02857,0.75,0.65,0.2,72.73,100.0,67.25,87.56,1,趋势中继原型
sh601898,2026-03-03,75.63,26.72,15.25,10.41,-17.32,4.85,2518312400.4500003,2.74133454745961,5.740181268882161,2.801783363628445,-0.04593721937728129,0.01683,0.03956,0.0031,0.04294,0.55,0.7,0.2,72.26,84.1,58.09,100.0,2,趋势中继原型
sh601015,2026-03-03,75.56,31.55,5.51,5.51,-18.68,4.21,1159557440.6799998,1.5687058205305635,10.058027079303677,11.125907354304417,-0.006875281793133681,0.03974,0.02626,0.01984,0.01416,0.65,0.5,0.2,69.77,88.07,60.97,85.62,3,趋势中继原型
sh605366,2026-03-03,74.09,34.75,13.64,12.96,-17.08,3.85,859184761.5199999,3.155048155454617,4.947368421052634,3.2791043698398,-0.06695655176451881,0.01941,0.03029,0.02357,0.03146,0.6,0.55,0.2,81.14,78.33,53.46,89.7,4,趋势中继原型
sh600583,2026-03-03,73.47,23.33,21.63,6.16,-18.28,9.96,3273711412.1599994,3.1994366061034993,9.962168978562435,-11.286865086443406,0.13835918727519864,0.0143,0.0189,0.02488,0.02935,0.5,0.65,0.2,72.14,81.92,52.65,100.0,5,趋势中继原型
sh600989,2026-03-03,73.42,16.31,13.4,10.82,-13.56,8.32,8861485300.020002,4.0680700775032825,8.320668693009114,2.3037644085415323,0.04159511502763169,0.00397,0.03108,0.00844,0.04093,0.5,0.75,0.2,57.22,76.76,77.57,100.0,6,趋势中继原型
sz000968,2026-03-03,72.79,20.51,22.54,9.24,-19.24,10.04,872590991.68,2.314973368751636,10.042283298097242,-2.1835825296930693,2.610641755977932,0.00921,-0.01039,0.04062,0.04428,0.55,0.35,0.2,68.51,87.14,50.68,90.68,7,趋势中继原型
