symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sh603301,2026-02-10,76.8,19.49,15.93,17.09,-17.99,10.0,579194109.4300001,2.998914148498121,10.001239310943122,8.365938152873461,0.0,0.02764,0.05052,0.06012,0.07941,0.55,0.8,0.0,63.57,100.0,63.25,69.21,2,趋势中继原型,2026-02-10,2026-02-26,回踩均线承接,2026-02-26,-2.31,0.868,-0.00827,0.05127,-0.02881,0.09169,0.0,5.12717,-7.27,-13.22,0.0,0.0,1.672,回踩均线承接
sh600418,2026-02-10,68.44,10.49,0.85,0.74,-10.04,-3.0,2961549085.8000007,1.0417889311800903,2.457786116322702,2.844738481423562,0.0,0.01688,0.01135,0.03985,0.04339,0.65,0.55,0.0,36.65,95.71,68.56,68.06,7,趋势中继原型,2026-02-10,2026-02-12,回踩均线承接,2026-02-12,2.22,1.144,0.00441,-0.00634,-0.07487,-0.06951,0.0,-0.63437,-1.41,-10.19,0.0,0.0,1.26,回踩均线承接
sh603188,2026-02-10,67.29,25.7,21.53,13.32,-19.59,2.39,531622816.25,3.3297460007540005,2.3850085178875657,4.210151270007685,0.0,0.03406,0.042,0.05381,0.05907,0.4,0.4,0.0,75.19,74.29,48.66,65.73,10,趋势中继原型,2026-02-10,2026-02-26,回踩均线承接,2026-02-26,-2.19,1.212,0.00018,0.04118,0.0055,0.03517,0.0,4.11836,-6.74,-9.39,0.0,0.0,1.188,回踩均线承接
sh603058,2026-02-10,65.53,27.73,8.37,9.92,-16.49,7.3,320426019.71999997,1.328515145616009,9.999999999999986,14.792193103237416,0.0,0.0054,0.03599,-0.00974,0.05868,0.45,0.7,0.0,67.41,74.1,66.33,27.89,13,趋势中继原型,2026-02-10,2026-02-25,回踩均线承接,2026-02-25,2.52,0.747,0.00811,0.07894,-0.05961,-0.30469,0.0,7.89386,-8.62,-14.44,0.0,0.0,1.141,回踩均线承接
sz001326,2026-02-10,63.98,20.39,20.82,10.81,-19.26,2.79,190349589.53000003,1.7743931907244386,2.793476505732273,12.757427436518206,0.0,0.01787,0.0119,0.07364,0.06506,0.45,0.4,0.0,68.36,78.57,50.61,33.24,16,趋势中继原型,2026-02-10,2026-02-26,回踩均线承接,2026-02-26,3.28,0.729,-0.00042,0.06157,1e-05,0.00866,0.0,6.15725,-2.13,-7.27,0.0,0.0,0.802,回踩均线承接
sz002079,2026-02-10,63.76,20.26,5.26,9.05,-12.79,1.1,1698920687.4800003,2.936707922559725,1.100762066045724,-0.4167636666136829,0.0,0.03451,0.03038,0.03889,0.01568,0.5,0.45,0.0,55.03,78.81,38.66,100.0,17,趋势中继原型,2026-02-10,2026-02-24,回踩均线承接,2026-02-24,-2.92,0.763,-0.00244,0.06128,-0.18277,-0.30292,0.0,6.12767,-7.97,-9.43,0.0,0.0,0.993,回踩均线承接
sh603186,2026-02-10,60.81,29.22,1.8,12.01,-13.28,3.61,1134437765.2500002,1.3874990118895956,4.0359364201796755,3.3913505886787476,0.0,0.01186,0.01441,-0.007,0.0056,0.55,0.55,0.0,63.46,48.88,66.81,79.58,20,趋势中继原型,2026-02-10,2026-02-13,回踩均线承接,2026-02-13,2.99,1.294,0.00776,0.08438,0.00037,0.01887,0.0,8.43848,-2.17,-14.85,0.0,0.0,1.29,回踩均线承接
sz002597,2026-02-11,78.59,21.5,12.58,12.39,-15.94,5.07,1169749828.2999997,3.4868796256501593,5.072463768115942,2.3821872169451126,0.0,0.06002,0.05401,0.10203,0.08864,0.65,0.55,0.0,63.16,95.71,64.57,100.0,1,趋势中继原型,2026-02-11,2026-02-27,回踩均线承接,2026-02-27,0.43,1.357,0.02403,0.05635,0.07526,0.07692,0.0,5.63537,-0.91,-12.08,0.0,0.0,1.362,回踩均线承接
sz002636,2026-02-11,73.14,51.52,-5.94,3.5,-16.41,-3.41,1890424648.6800003,1.7334970581814988,7.042253521126751,11.269464985486579,0.0,0.01961,0.02312,0.00349,0.002,0.55,0.65,0.0,74.19,71.85,66.5,91.12,3,趋势中继原型,2026-02-11,2026-02-23,回踩均线承接,2026-02-23,4.27,1.652,0.09826,0.11269,0.08426,0.05996,0.0,11.26946,-3.41,-9.0,0.0,0.0,1.151,回踩均线承接
sh603320,2026-02-11,70.66,33.23,14.97,15.92,-15.76,0.4,244266864.19,1.6984549114962415,0.39588281868565556,6.447583765495754,0.0,0.04881,0.04823,0.04528,0.05135,0.4,0.55,0.0,80.38,87.14,50.34,34.65,6,趋势中继原型,2026-02-11,2026-02-13,回踩均线承接,2026-02-13,-1.77,0.698,0.03318,0.04469,-0.17552,-0.00209,0.0,4.46861,-7.55,-7.93,0.0,0.0,1.372,回踩均线承接
