variant_id,period,trade_date,rank,symbol,name,final_score,big_runup_score,buyability_score,risk_penalty,entry_date,entry_buyable,entry_gap_pct,entry_open,max_runup_pct,max_drawdown_pct,close_return_pct,daily_mfe_rank,daily_mfe_pct_rank,daily_top1pct,daily_top3pct,hit_15pct,hit_20pct
pure_001_rank_full,final_2026,2026-02-26,2,sz002531,sz002531,74.7069175123239,74.7069175123239,90.19062659940063,0.0,2026-02-27,1,-0.09633911368016612,10.37,29.21890067502413,-5.785920925747345,7.9074252651880395,147.0,0.06382978723404255,0,0,1,1
pure_001_rank_full,final_2026,2026-02-26,3,sz002276,sz002276,74.13921476949861,74.13921476949861,90.73906664423589,0.0,2026-02-27,1,-0.6802721088435382,17.52,0.5707762557077611,-21.974885844748858,-18.94977168949772,2069.0,0.8983933999131567,0,0,0,0
pure_001_rank_full,final_2026,2026-02-27,1,sh600711,sh600711,75.55265238065552,75.55265238065552,92.38084927553632,2.2525192649673897,2026-03-02,1,1.1262596324836949,17.06,0.23446658851116187,-37.631887456037504,-25.7327080890973,2130.0,0.9560143626570916,0,0,0,0
pure_001_rank_full,final_2026,2026-02-27,2,sh600490,sh600490,74.08681878470509,74.08681878470509,88.56415730013785,2.9126213592232553,2026-03-02,1,1.4563106796116276,10.45,3.540669856459333,-35.11961722488037,-26.985645933014347,1226.0,0.5502692998204668,0,0,0,0
pure_001_rank_full,final_2026,2026-02-27,3,sz002539,sz002539,73.86094043873314,73.86094043873314,89.87412694959042,0.5012531328320691,2026-03-02,1,0.25062656641603454,16.0,2.8124999999999956,-18.374999999999996,-11.250000000000004,1338.0,0.6005385996409336,0,0,0,0
pure_001_rank_full,final_2026,2026-03-02,1,sh600711,sh600711,70.00355941764282,70.00355941764282,95.59693277289516,0.0,2026-03-03,1,-1.4277215942890997,16.57,0.36210018105007347,-35.787567893783944,-18.286059143029576,2496.0,0.9386987589319293,0,0,0,0
pure_001_rank_full,final_2026,2026-03-02,2,sz002237,sz002237,69.63152742620409,69.63152742620409,96.51923352912193,0.0,2026-03-03,1,-4.0019521717911015,19.67,2.491103202846956,-31.06253177427555,-22.928317234367057,1546.0,0.5814215870628056,0,0,0,0
pure_001_rank_full,final_2026,2026-03-02,3,sh600490,sh600490,69.53375143490743,69.53375143490743,94.3955432959383,0.0,2026-03-03,1,-3.2588454376163867,10.39,0.8662175168431263,-34.74494706448509,-23.965351299326276,2167.0,0.8149680330951485,0,0,0,0
pure_001_rank_full,final_2026,2026-03-03,1,sz002323,sz002323,74.90825067098567,74.90825067098567,90.41129503453499,0.0,2026-03-04,1,-2.3255813953488302,2.1,45.238095238095234,-1.4285714285714457,8.095238095238088,78.0,0.029736942432329393,0,1,1,1
pure_001_rank_full,final_2026,2026-03-03,2,sz000821,sz000821,71.97606745820801,71.97606745820801,89.36856555689826,0.0,2026-03-04,1,-1.4440433212996373,13.65,7.985347985347979,-15.091575091575093,-14.945054945054947,1230.0,0.4689287075867328,0,0,0,0
pure_001_rank_full,final_2026,2026-03-03,3,sz002319,sz002319,71.77090604478714,71.77090604478714,84.79208454825597,0.0,2026-03-04,1,-1.505376344086018,13.74,3.5662299854439583,-22.92576419213974,-22.052401746724883,2095.0,0.7987037743042318,0,0,0,0
pure_001_rank_full,final_2026,2026-03-04,1,sz002054,sz002054,67.61238577611657,67.61238577611657,81.14210031890741,6.8393782383419754,2026-03-05,1,3.4196891191709877,9.98,2.2044088176352616,-19.33867735470941,-17.735470941883758,1854.0,0.789944610140605,0,0,0,0
pure_001_rank_full,final_2026,2026-03-04,2,sz002046,sz002046,67.60685271116138,67.60685271116138,83.1556837728685,6.49834437086092,2026-03-05,1,3.24917218543046,49.89,9.440769693325324,-16.09540990178393,-14.792543595911011,698.0,0.2974009373668513,0,0,0,0
pure_001_rank_full,final_2026,2026-03-04,3,sz002459,sz002459,67.56663005223335,67.56663005223335,87.74561105743882,3.0482641828958545,2026-03-05,1,1.5241320914479273,11.99,11.676396997497918,-14.678899082568808,-14.595496246872397,530.0,0.2258201959948871,0,0,0,0
pure_001_rank_full,final_2026,2026-03-05,1,sz000823,sz000823,71.09279398118271,71.09279398118271,86.96696356551607,0.0,2026-03-06,1,0.0,15.24,7.152230971128604,-17.322834645669293,-16.2729658792651,988.0,0.44364616075437807,0,0,0,0
pure_001_rank_full,final_2026,2026-03-05,2,sz002669,sz002669,70.83137620597833,70.83137620597833,83.81865392792913,0.0,2026-03-06,1,-0.36023054755043304,13.83,10.99060014461315,-15.762834417932027,-8.966015907447577,608.0,0.27301302200269423,0,0,0,0
pure_001_rank_full,final_2026,2026-03-05,3,sz002243,sz002243,70.79045055545572,70.79045055545572,84.08211208880711,0.0,2026-03-06,1,-0.3984063745019806,10.0,4.200000000000004,-17.899999999999995,-16.600000000000005,1508.0,0.6771441400987877,0,0,0,0
pure_001_rank_full,final_2026,2026-03-06,1,sz002531,sz002531,71.33032013983022,71.33032013983022,89.5821233359931,0.0,2026-03-09,1,-1.7806935332708496,10.48,27.862595419847324,-3.6259541984732913,5.629770992366412,142.0,0.0627208480565371,0,0,1,1
pure_001_rank_full,final_2026,2026-03-06,2,sz000793,sz000793,70.13820511948038,70.13820511948038,83.23545015017044,0.0,2026-03-09,1,-1.388888888888895,2.84,3.169014084507049,-10.2112676056338,-5.281690140845063,1633.0,0.7212897526501767,0,0,0,0
pure_001_rank_full,final_2026,2026-03-06,3,sz002506,sz002506,69.75575358692959,69.75575358692959,95.50359712230212,3.5971223021582954,2026-03-09,1,1.7985611510791477,5.66,12.367491166077738,-25.795053003533564,-20.141342756183754,463.0,0.2045053003533569,0,0,0,0
pure_001_rank_full,final_2026,2026-03-09,1,sz002300,sz002300,70.52570117585154,70.52570117585154,90.38014539824005,0.17286084701813031,2026-03-10,1,0.08643042350906516,11.58,7.51295336787563,-23.575129533678762,-18.221070811744376,771.0,0.32504215851602025,0,0,0,0
pure_001_rank_full,final_2026,2026-03-09,2,sz002498,sz002498,70.28492367087401,70.28492367087401,99.74899598393574,0.20080321285140812,2026-03-10,1,0.10040160642570406,9.97,9.829488465396174,-24.674022066198596,-22.46740220661986,597.0,0.25168634064080947,0,0,0,0
pure_001_rank_full,final_2026,2026-03-09,3,sz002585,sz002585,69.7007771630762,69.7007771630762,83.80157238670469,2.1947873799725848,2026-03-10,1,1.0973936899862924,7.37,11.533242876526462,-12.483039348710989,-7.462686567164178,509.0,0.2145868465430017,0,0,0,0
pure_001_rank_full,final_2026,2026-03-10,1,sz000973,sz000973,72.90907415659501,72.90907415659501,92.55434224586404,0.0,2026-03-11,1,-0.2024291497975783,14.79,33.536173089925626,-1.08181203515888,22.515212981744437,82.0,0.0372557928214448,0,0,1,1
