date,open,close,high,low,volume,amount,amplitude_pct,change_pct,change,turnover_pct
2024-10-22,18175,18380,18475,18090,405409,74140512256,2.13,1.74,315,0.00
2024-10-23,18330,18045,18440,17960,364757,66546705920,2.63,-1.31,-240,0.00
2024-10-24,18020,18170,18175,17905,279535,50421686528,1.48,-0.38,-70,0.00
2024-10-25,18145,17760,18320,17670,460017,82970947584,3.60,-1.52,-275,0.00
2024-10-28,17840,17910,18035,17780,294618,52764050176,1.41,-0.69,-125,0.00
2024-10-29,17850,17750,18155,17650,399086,71388405760,2.82,-0.87,-155,0.00
2024-10-30,17850,17845,17970,17625,313717,55838722816,1.93,-0.22,-40,0.00
2024-10-31,17850,17835,17960,17735,226366,40371711488,1.26,0.22,40,0.00
2024-11-01,17800,17785,17920,17525,342973,60807705600,2.22,-0.25,-45,0.00
2024-11-04,17755,17660,17815,17460,257084,45241026304,2.00,-0.37,-65,0.00
2024-11-05,17650,17880,18000,17560,244081,43312454144,2.50,1.62,285,0.00
2024-11-06,17880,18125,18185,17815,275301,49648835584,2.09,2.14,380,0.00
2024-11-07,18065,18285,18375,18045,246747,44982240000,1.83,1.41,255,0.00
2024-11-08,18235,18355,18730,18235,418259,77526261760,2.72,0.69,125,0.00
2024-11-11,18260,18220,18575,18100,319185,58593676800,2.56,-1.70,-315,0.00
2024-11-12,18205,17905,18225,17750,303710,54696064768,2.59,-2.45,-450,0.00
2024-11-13,17910,17815,17960,17720,189217,33751076352,1.33,-1.06,-190,0.00
2024-11-14,17850,17620,17930,17535,208572,36951732480,2.21,-1.21,-215,0.00
2024-11-15,17705,17650,17780,17520,183830,32419704832,1.47,-0.37,-65,0.00
2024-11-18,17690,17410,17720,17155,295294,51279114496,3.20,-1.28,-225,0.00
2024-11-19,17410,17460,17560,17320,171456,29893063936,1.38,0.55,95,0.00
2024-11-20,17460,17765,17785,17405,196571,34589971456,2.18,1.92,335,0.00
2024-11-21,17645,17720,17820,17600,183492,32510766848,1.25,0.71,125,0.00
