discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,setup_score,strategy_mode,rank,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason,liquidity_mode
2026-03-04,sh601615,87.18,87.18,1279136360.31,2812824920.0895,2610854213.285001,0.4547515030794379,0.4899302128021077,0.10344827586206896,-20.86,0.19329,0.1632,-11.15,0.09287,87.18,current_abs_250m,7,2026-03-06,2026-03-10,2026-03-12,pullback_absorption_confirm,4.79,0.0,0.02402,0.0714,0.88421,0.07436,0.1011,-0.09577,-3.82,50.4,True,4.0,3.0,0.43364,0.38598,1.1235,,current_abs_250m
2026-03-04,sz002558,85.95,85.95,1136748282.1100001,1741412826.6924999,1703616602.38,0.652773578261192,0.6672559310128411,0.13513513513513514,-19.66,0.19376,0.18007,-6.86,0.05781,85.95,current_abs_250m,8,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,6.67,0.0,0.0141,0.07858,1.35171,-0.00662,0.02833,0.12701,-6.62,22.0,True,5.0,3.0,0.0021,0.00013,15.8255,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-04,sh600460,85.85,85.85,1195620072.7699997,2168169745.896001,1789836013.4850001,0.5514420976646859,0.668005372426271,0.13513513513513514,-15.5,0.14278,0.12944,-11.57,0.06882,85.85,current_abs_250m,9,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sz002654,85.01,85.01,471498572.6,690366783.5389999,645799072.095,0.6829682189849511,0.7301010375726281,0.16216216216216217,-14.34,0.1223,0.11205,-13.79,0.08652,85.01,current_abs_250m,10,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,9.82,0.0,0.03419,0.04805,1.44689,-0.04653,-0.08389,0.09127,-7.84,55.47,True,2.0,3.0,0.0007,0.00016,4.4214,launch_cancel_buy_to_add_buy_vs_hist_gt_2,current_abs_250m
2026-03-04,sz000766,84.98,86.35,474082710.76,388296567.2815,367581166.405,1.220929440811431,1.289736129292481,0.6486486486486487,-19.37,0.14785,0.13613,-11.59,0.0738,84.98,current_abs_250m,11,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sz002517,84.81,84.81,839898008.56,1576244935.5655003,1293921423.04,0.5328473954834149,0.6491105206270594,0.08108108108108109,-14.08,0.15279,0.1457,-7.64,0.08065,84.81,current_abs_250m,12,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sh603920,84.68,84.68,1756169195.0899997,2162817727.5125,2202469241.21,0.811982060601013,0.79736377799546,0.21621621621621623,-16.0,0.14436,0.13268,-8.97,0.06063,84.68,current_abs_250m,13,2026-03-09,2026-03-11,,no_pullback_confirm,4.92,0.0,0.03968,0.03121,0.86464,,,,,,True,5.0,3.0,0.3967,0.35393,1.1208,,current_abs_250m
2026-03-04,sh600481,84.65,84.65,1273714571.0699997,1859160708.3865,1900398531.295,0.6851019200892061,0.6702355059188794,0.4594594594594595,-14.51,0.15423,0.12979,-15.27,0.18911,84.65,current_abs_250m,14,2026-03-06,2026-03-10,2026-03-23,pullback_absorption_confirm,4.05,0.0,-0.00185,0.01005,0.86298,0.04471,0.08925,-0.07614,-16.27,52.0,True,4.0,3.0,0.4009,0.35978,1.1143,,current_abs_250m
2026-03-04,sz002354,84.12,84.12,428329688.24,956648194.4074999,838979843.5649999,0.447740026839528,0.5105363275712775,0.0,-18.5,0.16383,0.14016,-10.06,0.07727,84.12,current_abs_250m,15,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
2026-03-04,sz002201,84.02,84.02,365539316.89,1012026690.1045002,824433551.9749999,0.36119533255813147,0.443382387839893,0.0,-22.71,0.25002,0.21713,-12.91,0.09165,84.02,current_abs_250m,16,,,,no_launch,,,,,,,,,,,False,,,,,,no_launch,current_abs_250m
