run_date,date,ticker,name,close,indexed_return_pct,drawdown_from_high_pct
2026-05-07,2026-03-26,000660.KS,SK hynix,933000.0,5.19,-15.1
2026-05-07,2026-03-27,000660.KS,SK hynix,933000.0,5.19,-15.1
2026-05-07,2026-03-30,000660.KS,SK hynix,873000.0,-1.58,-20.56
2026-05-07,2026-03-31,000660.KS,SK hynix,807000.0,-9.02,-26.57
2026-05-07,2026-04-01,000660.KS,SK hynix,897000.0,1.13,-18.38
2026-05-07,2026-04-02,000660.KS,SK hynix,830000.0,-6.43,-24.48
2026-05-07,2026-04-03,000660.KS,SK hynix,876000.0,-1.24,-20.29
2026-05-07,2026-04-06,000660.KS,SK hynix,886000.0,-0.11,-19.38
2026-05-07,2026-04-07,000660.KS,SK hynix,916000.0,3.27,-16.65
2026-05-07,2026-04-08,000660.KS,SK hynix,1033000.0,16.46,-6.01
2026-05-07,2026-04-09,000660.KS,SK hynix,998000.0,12.51,-9.19
2026-05-07,2026-04-10,000660.KS,SK hynix,1027000.0,15.78,-6.55
2026-05-07,2026-04-13,000660.KS,SK hynix,1040000.0,17.25,-5.37
2026-05-07,2026-04-14,000660.KS,SK hynix,1103000.0,24.35,-2.22
2026-05-07,2026-04-15,000660.KS,SK hynix,1136000.0,28.07,-3.15
2026-05-07,2026-04-16,000660.KS,SK hynix,1155000.0,30.21,-1.53
2026-05-07,2026-04-17,000660.KS,SK hynix,1128000.0,27.17,-3.84
2026-05-07,2026-04-20,000660.KS,SK hynix,1166000.0,31.45,-0.77
2026-05-07,2026-04-21,000660.KS,SK hynix,1224000.0,37.99,-0.33
2026-05-07,2026-04-22,000660.KS,SK hynix,1223000.0,37.88,-0.81
2026-05-07,2026-04-23,000660.KS,SK hynix,1225000.0,38.11,-3.31
2026-05-07,2026-04-24,000660.KS,SK hynix,1222000.0,37.77,-3.55
2026-05-07,2026-04-27,000660.KS,SK hynix,1292000.0,45.66,-1.9
2026-05-07,2026-04-28,000660.KS,SK hynix,1300000.0,46.56,-2.11
2026-05-07,2026-04-29,000660.KS,SK hynix,1293000.0,45.77,-2.64
2026-05-07,2026-04-30,000660.KS,SK hynix,1286000.0,44.98,-3.16
2026-05-07,2026-05-04,000660.KS,SK hynix,1447000.0,63.13,-0.21
2026-05-07,2026-05-06,000660.KS,SK hynix,1601000.0,80.5,-0.81
2026-05-07,2026-05-07,000660.KS,SK hynix,1655000.0,86.58,-0.6
2026-05-07,2026-02-09,005930.KS,Samsung Electronics,166400.0,0.0,-1.36
2026-05-07,2026-02-10,005930.KS,Samsung Electronics,165800.0,-0.36,-1.72
2026-05-07,2026-02-11,005930.KS,Samsung Electronics,167800.0,0.84,-0.53
2026-05-07,2026-02-12,005930.KS,Samsung Electronics,178600.0,7.33,-0.56
2026-05-07,2026-02-13,005930.KS,Samsung Electronics,181200.0,8.89,-1.74
2026-05-07,2026-02-19,005930.KS,Samsung Electronics,190000.0,14.18,-0.47
