symbol,trade_date,probe_index,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,probe_strength_score,touch_up_10d,touch_up_20d,limit_close_10d,limit_close_20d,days_to_first_touch_up,days_to_first_limit_close,first_limit_close_streak,first_touch_streak,has_2board_from_first_close,has_3board_from_first_close,has_2touch_from_first_touch,has_3touch_from_first_touch,high_10d_pct,close_10d_pct,high_20d_pct,close_20d_pct,high_40d_pct,close_40d_pct,trend20_15,trend20_20,trend40_30,good_target_A,good_target_B,good_target_C,oib_top20,oib_top30,pullback_mid,probe_2_3,probe_1,probe_2_3_oib20,probe_2_3_oib20_pullback_mid,probe_1_oib20,probe_1_oib20_pullback_mid
sh603001,2024-12-23,1,first_probe,0.29934214513247,13.876377888367772,0.7073170731707316,-2.657342657342665,5.890804597701149,4.597701149425282,1.724137931034475,69.9768125275768,0,0,0,0,,,0,0,0,0,0,0,-10.028248587570621,-30.649717514124298,-10.028248587570621,-27.82485875706214,-10.028248587570621,-28.531073446327692,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh603007,2024-11-18,1,first_probe,0.3207371397012569,101.40456171431802,1.0,-5.01152073732719,9.581564584596736,8.489993935718632,0.0,81.71672523685544,0,0,0,0,,,0,0,0,0,0,0,-4.97271073377804,-18.192844147968458,-4.97271073377804,-16.49484536082474,-4.97271073377804,-25.591267434808973,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
sh603030,2024-12-11,1,first_probe,0.28892871212521454,16.866966616075832,0.9230769230769235,-5.837563451776651,10.540540540540523,8.918918918918916,0.5390835579514919,77.38131848109504,0,0,0,0,28.0,,0,1,0,0,0,0,-1.072386058981234,-26.005361930294914,-1.072386058981234,-34.85254691689007,-1.072386058981234,-26.005361930294914,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
sh603032,2025-07-23,1,first_probe,0.30692801347379856,27.261815227805897,1.3823529411764712,0.053276505061283785,5.4313099041533475,3.1416400425985147,-2.076677316293929,76.326598429251,0,0,0,0,23.0,27.0,3,1,1,1,0,0,2.882001087547592,2.882001087547592,9.570418705818362,2.283849918433911,48.83088635127788,22.349102773246333,0,0,1,0,1,1,False,False,False,False,True,False,False,False,False
sh603045,2025-04-17,1,first_probe,8.31489458686528,18.066807832742594,0.6868686868686882,0.8528784648187626,6.8370165745856415,6.8370165745856415,4.228329809725162,78.00851019609976,0,0,0,0,32.0,32.0,1,1,0,0,0,0,6.828938471940504,1.7579445571332064,10.074374577417178,9.127789046653145,29.817444219066935,9.66869506423258,0,0,0,0,0,0,True,True,True,False,True,False,False,True,True
sh603086,2025-08-20,1,first_probe,0.31955513692789217,26.751493763160678,0.6666666666666666,0.7804878048780495,6.969990319457886,4.549854791868357,2.3233301064859546,75.67803459683051,0,0,0,0,,,0,0,0,0,0,0,-0.5676442762535538,-12.677388836329229,-0.5676442762535538,-13.055818353831604,1.229895931882674,-9.460737937559127,0,0,0,0,0,0,False,False,True,False,True,False,False,False,False
sh603093,2025-06-30,1,first_probe,0.2617385256556476,13.698447449073724,1.2690058479532167,-1.978494623655913,7.503290917068894,4.651162790697683,-2.0184291355857864,75.16145322223811,1,1,1,1,7.0,7.0,3,3,1,1,1,1,25.391849529780576,12.001791312136145,28.481862964621605,11.509180474697711,28.481862964621605,6.583072100313481,1,1,0,1,1,1,False,False,False,False,True,False,False,False,False
sh603095,2025-01-02,1,first_probe,0.5681680458086045,35.01908210205173,1.0845070422535192,-1.5364354697102733,6.230802983764816,6.230802983764816,1.0699955416852536,79.3640796433252,0,0,0,0,21.0,21.0,1,1,0,0,0,0,7.5430083811204085,-4.543449492721663,7.5430083811204085,-1.6321129245699173,26.687251874724293,2.823114247904712,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False
sh603108,2025-04-28,1,first_probe,0.3018875486567545,36.682362903836605,0.5523809523809537,-6.198347107438018,6.607929515418509,3.838892385147896,2.9578351164254224,73.91972710790964,1,1,0,0,1.0,,0,1,0,0,0,0,23.288508557457234,12.408312958435207,23.288508557457234,8.129584352078245,23.288508557457234,6.601466992665039,1,1,0,0,1,0,False,False,True,False,True,False,False,False,False
sh603110,2024-11-20,1,first_probe,0.2768613360909095,19.078883560513468,0.7720588235294126,1.1302795954788891,8.000000000000007,4.823529411764715,1.8235294117646905,76.72328017503564,1,1,0,0,4.0,,0,1,0,0,0,0,20.739456961294046,-3.6972848064702357,20.739456961294046,-6.1236279607163375,20.739456961294046,-20.161756210283066,1,1,0,0,1,0,False,False,True,False,True,False,False,False,False
