symbol,trade_date,probe_index,oib_ratio,same_day_pullback_ratio,day_gap_pct,probe_strength_score,hot_theme_best_rank,hot_theme_score,hot_theme_is_top10,confirm_d1_pos,confirm_d3_pos,confirm_d5_pos,trend20_probability,trend20_probability_sample_split,target_trend20,target_trend40,high_20d_pct,high_40d_pct
sz000056,2024-12-10,1.0,0.6210859947704658,1.1489361702127656,-7.017543859649134,80.33848650558497,207.0,54.9,0.0,0,0,0,0.24444444444444444,train,0,0,6.868131868131866,6.868131868131866
sz000056,2025-03-14,2.0,0.6106166071393311,0.8333333333333326,-1.1363636363636354,84.5533802295372,164.0,63.8,0.0,0,0,0,0.24444444444444444,train,0,0,13.33333333333333,13.33333333333333
sz000056,2025-04-11,3.0,0.6309359028207312,0.6800000000000015,-0.3154574132492094,86.50519254072107,12.0,82.9,0.0,0,0,1,0.575,train,0,0,7.621951219512191,7.621951219512191
sz000058,2024-11-04,1.0,1.1537949639953033,1.0,-9.999999999999998,83.07964033306735,437.0,42.7,0.0,0,0,0,0.09259259259259259,train,0,0,15.937149270482598,24.691358024691358
sz000059,2024-10-24,1.0,0.3261140067878018,0.4499999999999999,1.2396694214876103,78.31147059331288,260.0,49.1,0.0,0,1,0,0.1388888888888889,train,0,0,14.84375,14.84375
sz000088,2024-11-26,1.0,2.448121279527541,0.6666666666666666,0.0,85.37377966248118,95.0,64.5,0.0,0,0,0,0.17647058823529413,train,0,0,4.166666666666674,4.166666666666674
sz000096,2025-05-13,1.0,0.44599130630232825,0.6363636363636361,0.9994121105232123,78.85986605151578,167.0,53.1,0.0,0,0,0,0.5,train,0,0,8.720271800679491,8.720271800679491
sz000099,2024-11-22,1.0,0.6811880694400148,0.8660714285714297,-1.1912865895166713,79.5735069483698,44.0,68.1,0.0,0,0,0,0.17647058823529413,train,0,0,0.8119079837618504,0.8119079837618504
sz000151,2024-09-06,1.0,0.463347359710016,0.9285714285714277,-0.11001100110010764,86.8715242342837,97.0,65.2,0.0,1,0,0,1.0,train,1,1,48.12433011789925,99.67845659163986
sz000151,2024-10-11,2.0,0.4823847726937902,1.4186046511627894,0.8573655494933607,81.53212671345817,211.0,46.3,0.0,0,0,0,0.4,train,1,1,48.09220985691574,50.23847376788553
sz000151,2024-11-26,3.0,0.2804781346732384,0.6140350877192976,-1.715265866209248,76.91109155565722,68.0,68.6,0.0,0,0,0,0.0,train,0,0,-1.0644257703081306,-1.0644257703081306
sz000151,2025-07-11,4.0,0.46695337475618914,0.5899280575539568,-0.4542013626040897,81.96140065906606,57.0,73.4,0.0,0,0,0,0.08955223880597014,train,0,0,1.391941391941387,1.391941391941387
sz000153,2025-07-02,1.0,0.2764320468629774,1.5384615384615377,1.178203240058906,76.84665885504585,398.0,34.7,0.0,0,0,0,0.2,train,0,0,17.956204379562045,17.956204379562045
sz000155,2024-12-04,1.0,0.5961781729609006,1.5357142857142871,0.07587253414262918,80.93847756127045,323.0,38.5,0.0,0,0,0,0.1388888888888889,train,0,0,-1.449275362318836,-1.449275362318836
sz000158,2024-09-06,1.0,0.5979527289139696,0.509090909090908,0.0,83.58653851426239,125.0,61.9,0.0,0,0,0,0.5208333333333335,train,1,1,189.32432432432432,438.91891891891896
sz000301,2024-11-15,1.0,0.6285336690012445,0.8793103448275857,1.0266940451745254,77.07008079146314,90.0,61.5,0.0,0,1,0,0.08955223880597014,train,0,0,0.0,0.0
sz000402,2024-10-24,1.0,0.37501420163608634,0.9,-1.2307692307692353,78.03498195110754,374.0,39.5,0.0,0,0,1,0.4444444444444444,train,1,1,45.820433436532504,45.820433436532504
sz000402,2025-10-17,2.0,0.574005870279542,1.133333333333333,-0.33333333333332993,83.91195750403664,156.0,50.9,0.0,1,0,0,0.5208333333333335,valid,0,0,7.973421926910307,7.973421926910307
sz000417,2024-10-21,1.0,1.3064777200293212,0.4193548387096764,-0.2057613168724437,84.71050526123184,189.0,62.7,0.0,0,0,0,0.288135593220339,train,0,1,13.017751479289942,47.53451676528599
sz000419,2025-06-25,1.0,0.3318395848218959,0.5714285714285721,1.610017889087656,80.11429211101826,88.0,73.0,0.0,0,0,0,0.09259259259259259,train,0,0,3.958691910499157,15.3184165232358
sz000420,2025-02-19,1.0,0.5944614343858805,0.5882352941176479,-0.28901734104045396,79.30486119828393,16.0,87.3,0.0,0,1,0,0.4,train,0,0,17.746478873239436,17.746478873239436
sz000420,2025-04-30,2.0,0.356957609961996,0.5789473684210521,0.0,78.56284505844161,159.0,61.3,0.0,0,0,1,0.4,train,1,1,41.71270718232043,41.71270718232043
sz000421,2024-09-02,1.0,0.45282147707820386,0.6410256410256401,0.0,83.58505868856433,51.0,69.3,0.0,0,0,0,0.5208333333333335,train,1,1,30.801687763713083,30.801687763713083
