symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,probe_index,days_since_prev_probe,bar_high_ret_pct,bar_close_ret_pct,amount_vs_day_median,same_day_pullback_ratio,same_day_later_high_pct,oib_ratio,cvd_ratio,day_gap_pct,day_high_vs_prev_close_pct,day_return_pct,touch_limit_up,broken_limit_up,touch_limit_up_count_5m,limit_state_label,probe_strength_score
sz002281,2026-05-14,09:45,09:45,non_probe,non_probe,,,,3.036985065650999,2.9868698005412586,5.378687730200036,0.29702970297029413,3.5019455252918386,0.6374508256781796,0.17357736021893733,0.5000757690559299,7.491033995049756,2.4326497788500268,0,0,0,normal,50.7715274060042
sz002281,2026-05-18,09:30,09:30,launch_day,launch_without_probe,直接启动,,,6.350589441312149,4.315735520246045,13.92490840954493,-0.19451170298627876,3.53751988047617,0.23649456505690256,-0.003064351772008258,-0.7074151356303182,9.333808336302107,7.585853408508458,0,0,0,normal,62.4214471029115
sz002281,2026-05-19,13:00,13:35,launch_day,launch_without_probe,直接启动,,,3.4516097843952265,2.6007928067291797,3.492316217924113,-2.3655462184873977,7.892523364485982,0.23473799417893362,0.17353586168552018,-0.1905669366364937,9.999999999999986,10.21002386634844,1,0,7,sealed_up,34.7728863814191
sz002281,2026-05-20,09:30,09:30,non_probe,non_probe,,,,3.4365311558447242,1.1353216016767975,7.848553444354244,0.060991105463785195,4.187774400540367,0.14271697179484105,-0.01809415746813238,-0.8142405474468317,6.890727186105949,3.2269333216890184,0,0,0,normal,47.11567763455916
sz002281,2026-05-25,09:35,09:35,non_probe,non_probe,,,,3.3236151603498465,3.197278911564627,4.474188503267514,-1.6578947368421117,6.424003009781809,0.40972201450400214,0.07815634348879685,-1.2368555148932314,4.831611618103482,5.056285178236397,0,0,0,normal,36.64415434666227
sz002281,2026-05-27,09:35,09:35,non_probe,non_probe,,,,2.1726101288582544,2.122665068424734,6.165038327482109,0.429885057471266,4.472796597741602,0.24430807575982075,0.06490423091090676,-2.278444272445823,3.3862229102167074,0.3415672491460908,0,0,0,normal,40.28703208005601
sz002281,2026-05-28,09:35,09:35,non_probe,non_probe,,,,3.5755828655237076,3.0546705102918237,3.917686585839166,-1.4285714285714235,6.992187499999991,0.28583550605741875,0.09850105785392081,-1.336951159348776,8.100641341884574,7.455372768638435,0,0,0,normal,36.902359675493145
sz002281,2026-06-02,09:30,09:30,non_probe,non_probe,,,,2.32465726207034,1.9868865487780552,3.037255920962422,-1.9465811965811965,5.6601941747572715,-0.020305834896933574,-0.08068677799494214,-1.458639255996097,6.539402838962305,6.849791376912395,0,0,0,normal,17.62282255075567
sz002281,2026-06-03,09:30,09:30,non_probe,non_probe,,,,3.9854578504885163,3.094751192910694,8.362086731932026,0.5496009122006845,2.263788130408173,0.16053113621893245,0.06741969174975969,2.2964994653897897,8.78155362372739,1.7950465803226567,0,0,0,normal,57.74533624346251
sz002283,2026-03-04,09:30,09:30,non_probe,non_probe,,,,1.8672199170124415,1.8672199170124415,7.4311683294797355,0.6111111111111089,2.443991853360483,0.2049274088478254,0.08049186254975702,-1.5321756894790428,2.7579162410623193,0.7261410788381717,0,0,0,normal,42.136679981880334
