symbol,trade_date,probe_index,sequence_label,event_role,oib_ratio,amount_vs_day_median,same_day_pullback_ratio,day_gap_pct,bar_high_ret_pct,bar_close_ret_pct,day_return_pct,big_rise_20d,big_rise_40d,monster_60d,fail_20d,deep_fail_20d,days_to_up_15,days_to_up_20,days_to_up_30,days_to_down_8,days_to_down_15
sz000516,2024-09-11,1,首次试盘,first_probe,0.5545799051200144,20.67553907321094,1.1666666666666692,-1.9867549668874165,6.756756756756754,3.828828828828823,-1.1261261261261368,1,1,1,0,0,10.0,11.0,12.0,,
sz000518,2024-09-02,1,首次试盘,first_probe,8.118991747524754,35.94960114976899,0.4444444444444444,0.0,8.866995073891637,6.896551724137945,4.92610837438423,1,1,1,0,0,19.0,19.0,32.0,10.0,
sz000526,2025-01-27,1,首次试盘,first_probe,0.5400851995991517,29.883296099544975,0.7892976588628755,0.679117147707986,7.20308359431463,5.179474825343289,1.5177065767284947,1,1,1,0,0,5.0,7.0,53.0,,
sz000536,2025-10-16,1,首次试盘,first_probe,0.2625671304234757,28.311951812926416,0.4545454545454534,-0.4255319148936287,4.721030042918439,3.218884120171661,2.1367521367521514,0,1,1,0,0,22.0,26.0,35.0,,
sz000545,2024-09-06,1,首次试盘,first_probe,0.3161593812361992,34.26701028578587,0.9230769230769248,-0.985221674876846,6.499999999999995,4.0000000000000036,0.0,1,1,1,0,0,14.0,15.0,33.0,5.0,
sz000545,2024-10-23,2,重新试盘,retest_probe,0.6967228955557845,27.80138513871025,0.4285714285714285,0.4464285714285587,6.278026905829592,4.035874439461873,2.6666666666666616,1,1,1,0,0,7.0,8.0,9.0,51.0,
sz000564,2024-11-01,1,首次试盘,first_probe,0.4116793441934601,17.83077173775964,0.6999999999999993,0.0,5.076142131979688,3.045685279187804,2.564102564102577,1,1,1,0,0,3.0,4.0,4.0,,
sz000566,2024-09-20,1,首次试盘,first_probe,0.4756888841143425,19.859028752229907,1.5454545454545463,-7.272727272727275,5.392156862745101,3.4313725490195957,-2.941176470588236,1,1,1,0,0,7.0,19.0,20.0,1.0,
sz000572,2025-10-17,1,首次试盘,first_probe,0.253978480144908,33.70030501340101,1.5081967213114744,0.0,8.543417366946793,6.022408963585435,-4.341736694677866,1,1,1,0,0,12.0,13.0,14.0,3.0,4.0
sz000576,2025-03-25,1,首次试盘,first_probe,0.5597502345172056,19.24006046562069,1.157894736842104,0.1319261213720279,4.846938775510212,4.336734693877542,2.503293807641649,0,1,1,0,1,30.0,32.0,33.0,4.0,8.0
