symbol,trade_date,event_time,business_anchor_time,event_kind,event_role,sequence_label,probe_strength_score,fwd_1d_close_ret_pct,fwd_1d_high_ret_pct,fwd_1d_low_ret_pct,fwd_3d_close_ret_pct,fwd_3d_high_ret_pct,fwd_3d_low_ret_pct,fwd_5d_close_ret_pct,fwd_5d_high_ret_pct,fwd_5d_low_ret_pct,fwd_10d_close_ret_pct,fwd_10d_high_ret_pct,fwd_10d_low_ret_pct,fwd_20d_close_ret_pct,fwd_20d_high_ret_pct,fwd_20d_low_ret_pct,fwd_10d_max_runup_pct,fwd_10d_max_drawdown_pct
sh603256,2026-05-06,09:30,09:30,launch_day,launch_without_probe,直接启动,71.8,9.9992,9.9992,3.0456,14.4798,16.9376,3.0456,11.6098,16.9376,3.0456,10.6786,16.9376,-2.3815,50.6526,58.7665,-2.3815,16.9376,-2.3815
sh603256,2026-05-07,09:30,09:30,launch_day,launch_without_probe,直接启动,67.01,3.303,4.8366,-3.768,3.1573,6.3077,-3.768,-1.5821,6.3077,-3.768,0.5343,8.2437,-11.2553,,,,8.2437,-11.2553
sh603256,2026-05-22,09:30,09:40,launch_day,launch_without_probe,直接启动,59.18,10.0019,10.0019,3.2189,12.8945,19.7653,3.2189,26.8432,30.5139,3.2189,,,,,,,,
sh603256,2026-05-25,09:35,13:05,launch_day,launch_without_probe,直接启动,36.63,4.8999,8.8757,-2.1733,12.8914,12.8914,-2.1733,3.7819,18.647,-2.1733,,,,,,,,
sh603256,2026-05-28,09:30,10:35,launch_day,launch_without_probe,直接启动,52.63,2.1424,5.0983,-1.5108,0.4497,5.0983,-17.2553,,,,,,,,,,,
sh603256,2026-06-02,09:30,14:30,launch_day,launch_without_probe,直接启动,56.93,-0.7193,4.4618,-4.4014,,,,,,,,,,,,,,
sh603257,2026-03-02,09:30,13:10,launch_day,launch_without_probe,直接启动,53.88,-4.4478,0.8348,-5.9532,-5.789,0.8348,-7.2123,-8.9777,0.8348,-10.7979,-13.5076,0.8348,-14.8761,-24.7708,0.8348,-28.0005,0.8348,-14.8761
sh603260,2026-04-07,09:30,09:50,launch_day,launch_without_probe,直接启动,57.44,0.9298,2.278,-0.4417,-1.0693,2.278,-2.3477,3.9517,6.3924,-2.5105,4.9047,7.02,-2.5105,4.6258,8.7169,-2.5105,7.02,-2.5105
sh603266,2026-03-06,09:30,09:30,launch_day,launch_without_probe,直接启动,55.61,-3.2258,-0.3321,-4.1746,-0.7116,2.3245,-4.1746,-4.5066,2.3245,-4.649,-12.4763,2.3245,-12.5712,-14.9431,2.3245,-18.9753,2.3245,-12.5712
sh603267,2026-05-22,09:35,09:35,launch_day,launch_without_probe,直接启动,53.02,4.4691,7.0119,2.9589,-1.8493,7.0119,-2.8356,6.7345,14.9021,-2.8356,,,,,,,,
sh603267,2026-05-28,09:30,11:10,launch_day,launch_without_probe,直接启动,54.01,-1.1419,6.4231,-1.6985,12.7319,12.7319,-3.968,,,,,,,,,,,
sh603267,2026-06-02,09:40,13:15,launch_day,launch_without_probe,直接启动,40.63,-2.3803,5.8116,-5.0013,,,,,,,,,,,,,,
sh603268,2026-04-20,09:30,09:30,launch_day,launch_without_probe,直接启动,78.11,6.1197,9.4945,2.5949,6.7797,9.4945,2.5949,4.3573,11.7444,-1.1774,12.1569,15.3442,-1.1774,7.8446,26.3912,-1.1774,15.3442,-1.1774
sh603269,2026-03-06,09:40,10:25,launch_day,launch_without_probe,直接启动,27.69,-3.778,-2.1251,-6.9067,5.9622,13.5773,-6.9067,-4.0732,13.5773,-6.9067,-14.758,13.5773,-14.9941,-24.085,13.5773,-24.4392,13.5773,-14.9941
sh603269,2026-03-10,09:40,11:10,launch_day,launch_without_probe,直接启动,43.52,0.1115,7.3062,-0.3904,-9.3698,7.3062,-9.7602,-16.2856,7.3062,-16.4529,-20.9147,7.3062,-24.763,-22.8109,7.3062,-28.6113,7.3062,-24.763
sh603269,2026-04-14,10:40,11:10,launch_day,launch_without_probe,直接启动,55.54,-1.2492,4.1224,-1.6864,-2.3111,4.1224,-4.06,-2.3111,4.1224,-4.06,-7.6827,4.1224,-11.1805,35.4154,37.4141,-11.1805,4.1224,-11.1805
sh603269,2026-05-06,09:30,09:55,launch_day,launch_without_probe,直接启动,51.23,3.961,5.3016,2.1938,13.1018,13.1018,1.2797,29.1895,31.0177,1.2797,34.4912,38.7569,1.2797,30.713,45.2773,1.2797,38.7569,1.2797
sh603269,2026-05-11,09:30,09:30,launch_day,launch_without_probe,直接启动,76.56,10.0216,10.0216,3.9871,13.6315,15.8405,3.0172,19.2888,22.6832,3.0172,21.8211,28.4483,3.0172,,,,28.4483,3.0172
sh603269,2026-05-18,09:30,09:30,launch_day,launch_without_probe,直接启动,64.26,-2.3487,1.5808,-3.1617,-5.1491,3.794,-5.9169,2.1229,7.6784,-5.9169,-4.2457,7.6784,-5.9169,,,,7.6784,-5.9169
sh603269,2026-05-22,10:30,10:30,launch_day,launch_without_probe,直接启动,64.13,-2.1212,3.2035,-3.5498,-2.1645,3.2035,-9.1342,-6.6234,3.2035,-9.1342,,,,,,,,
sh603272,2026-03-23,09:30,09:30,launch_day,launch_without_probe,直接启动,82.54,4.6289,10.0083,-3.7114,22.5188,22.5188,-3.7114,48.2485,48.2485,-3.7114,25.6047,54.2952,-3.7114,3.3778,54.3786,-3.7114,54.2952,-3.7114
sh603272,2026-03-24,10:25,09:30,launch_day,launch_without_probe,直接启动,54.03,6.1778,7.5727,1.0761,28.8163,28.8163,1.0761,31.5265,47.4691,1.0761,32.0446,47.4691,1.0761,-11.0801,47.5488,-11.0801,47.4691,1.0761
