feature,positive_mean,failed_mean,diff_mean,positive_median,failed_median,diff_median,effect_size_rough
pullback_amount_sum,2047639225.440522,2093357816.515222,-45718591.0747,1173747777.62,1236931450.52,-63183672.9,-0.0183
pre20_oib_ratio,-0.004984,-0.029366,0.024382,-0.00695,-0.00573,-0.00122,0.0143
pre5_oib_ratio,-0.002949,0.014299,-0.017248,-0.012045,-0.00257,-0.009475,-0.0135
pre_peak5_add_buy_ratio,1.321061,1.325251,-0.00419,1.349605,1.34833,0.001275,-0.0123
pre_peak5_amount_anomaly_avg,1.880621,1.889499,-0.008878,1.61675,1.6443,-0.02755,-0.0103
pre5_max_daily_main_outflow_ratio,-0.08848,-0.089166,0.000686,-0.100805,-0.092115,-0.00869,0.0078
pullback_amount_avg,1501246493.564776,1513308178.655314,-12061685.090538,950035317.325,871206480.35,78828836.975,-0.0064
launch3_max_daily_main_outflow_ratio,-0.083062,-0.083363,0.000301,-0.081325,-0.07905,-0.002275,0.0053
pre20_support_spread_avg,-0.010366,-0.091026,0.080661,-0.01066,-0.01279,0.00213,0.0053
pre5_add_sell_ratio,1.235161,1.239903,-0.004742,1.325365,1.20225,0.123115,-0.0039
pre5_cancel_buy_ratio,0.345687,0.342842,0.002846,0.202855,0.316575,-0.11372,0.0032
pre20_cancel_buy_ratio,0.327807,0.329134,-0.001327,0.202855,0.31467,-0.111815,-0.0015
pre20_amount_avg,968700407.718281,967531704.115371,1168703.60291,606531065.235,502133877.03,104397188.205,0.0009
pre20_cancel_sell_ratio,0.213412,0.213454,-4.1e-05,0.00439,0.271715,-0.267325,-0.0002
pullback_order_available_ratio,1.0,1.0,0.0,1.0,1.0,0.0,0.0
post_peak5_order_available_ratio,1.0,1.0,0.0,1.0,1.0,0.0,0.0
pre5_order_available_ratio,1.0,1.0,0.0,1.0,1.0,0.0,0.0
pre20_order_available_ratio,1.0,1.0,0.0,1.0,1.0,0.0,0.0
launch3_order_available_ratio,1.0,1.0,0.0,1.0,1.0,0.0,0.0
launch3_days,4.0,4.0,0.0,4.0,4.0,0.0,0.0
pre_peak5_order_available_ratio,1.0,1.0,0.0,1.0,1.0,0.0,0.0
