discovery_date,symbol,base_setup_score,relative_rank_score,amount,amount_avg20,amount_med20,amount_ratio20,amount_ratio20_median,amount_percentile60,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence
2026-03-02,sz002314,54.56,54.56,102017554.0,130665463.28899999,110230137.505,0.7807537771045296,0.9254960241283607,0.34285714285714286,-12.5,0.11086,0.10236,-1.12,0.01067
2026-03-02,sz002315,69.83,69.83,374583673.94,435557746.91,370115136.365,0.8600092102538146,1.0120733715969756,0.3142857142857143,-14.1,0.14536,0.14365,-5.65,0.05909
2026-03-02,sz002317,57.88,57.88,624147692.97,805696535.5939999,501893790.16999996,0.7746684581557088,1.24358520705863,0.4,-17.23,0.13521,0.1057,-1.09,-0.02944
2026-03-02,sz002326,79.4,79.4,1025486691.5799999,1885108455.6150002,1970223154.5049996,0.5439934707870395,0.5204926605573489,0.06896551724137931,-9.4,0.09074,0.08799,-14.29,0.14882
2026-03-02,sz002331,59.05,59.05,108068247.6,130231934.0895,92917613.32999998,0.8298137346691916,1.163054492329587,0.45714285714285713,-12.77,0.12581,0.11754,-3.17,0.01312
2026-03-02,sz002345,89.26,91.72,520082914.29999995,413773641.4165,387487149.15999997,1.2569261602057686,1.3421939680514385,0.7428571428571429,-20.14,0.20629,0.21572,-15.25,0.13995
2026-03-02,sz002354,58.73,58.73,707351735.06,1010052178.858,1043146569.3500001,0.7003120728473219,0.6780942926369026,0.14285714285714285,-10.16,0.08134,0.06289,-8.82,0.06228
2026-03-02,sz002414,50.02,56.47,2505528069.8399997,1272788329.626,1121378457.5149999,1.9685347606669459,2.2343286987983584,0.8571428571428571,-12.29,0.06427,0.0436,-6.55,-0.02787
2026-03-02,sz002501,59.81,59.81,196898331.0,289120486.858,258354369.47,0.6810251779103623,0.7621250277435844,0.2,-20.9,0.1664,0.14361,-3.2,0.0291
2026-03-02,sz002517,85.91,85.91,1190264056.43,1565669565.0545,1313575609.6299999,0.7602268594833212,0.906125271894525,0.2571428571428571,-8.1,0.08992,0.08552,-12.67,0.14669
2026-03-02,sz002532,67.64,69.97,1447346894.8400002,1254301070.742,1058528174.87,1.1539070870630772,1.3673201424399986,0.7714285714285715,-8.96,0.07808,0.07552,-2.7,0.02977
2026-03-02,sz002545,57.41,62.17,931547665.77,575271290.451,508186991.35,1.6193188869892798,1.8330805030946213,0.8285714285714286,-7.69,0.08792,0.08136,3.34,0.02846
2026-03-02,sz002547,55.64,55.64,160558314.0,197495194.3075,175595269.88,0.812973270377459,0.9143658260824674,0.4857142857142857,-19.11,0.18528,0.15168,-1.3,0.02766
2026-03-02,sz002558,97.6,97.6,1579891786.71,1825577431.8429997,1709000298.0949998,0.8654203098441191,0.9244537806523994,0.34285714285714286,-19.71,0.18799,0.16851,-11.46,0.10454
2026-03-02,sz002574,50.97,50.97,100556561.0,155784000.61349997,88770687.16,0.6454870885584765,1.1327676310397055,0.45714285714285713,-7.0,0.06982,0.0498,-3.7,0.02568
2026-03-02,sz002582,52.65,52.65,268599717.74,473682827.5435001,365858691.955,0.5670455041255078,0.734162461207939,0.11428571428571428,-18.41,0.15308,0.11024,-3.41,0.03108
2026-03-02,sz002603,50.53,50.53,374785608.66,518172958.616,307717670.36,0.7232828391142283,1.2179528339127779,0.5714285714285714,-12.95,0.11482,0.10077,-1.35,-0.05557
2026-03-02,sz002653,57.47,57.47,102680962.72999999,136231105.85199997,111314822.75,0.7537262660229118,0.9224374633431287,0.2,-7.55,0.06708,0.0665,-5.57,0.04514
2026-03-02,sz002694,53.69,56.83,76225100.18,66793234.15849999,50413829.0,1.1412099015765316,1.5119879146652402,0.8571428571428571,-13.54,0.14153,0.12716,-2.92,0.03002
2026-03-02,sz002712,67.99,67.99,146953947.6,214665609.394,196813133.85,0.6845714505218153,0.7466673830416222,0.05714285714285714,-8.78,0.07375,0.05767,-12.68,0.10024
2026-03-02,sz002731,67.0,67.0,82577636.0,347096036.60950005,324695579.875,0.23791005165784668,0.25432325266574435,0.17647058823529413,-35.64,0.36921,0.35178,-12.61,0.14509
2026-03-02,sz002739,51.32,51.32,828975779.11,1617228510.302,1461258801.56,0.5125903815257361,0.567302505363874,0.45714285714285713,-6.89,0.04283,0.03811,-12.34,0.04
2026-03-02,sz002759,85.66,85.66,1278847631.7900002,2259337279.6610003,2179717049.6,0.5660277654436275,0.586703504486824,0.14285714285714285,-13.18,0.14817,0.1308,-13.51,0.14537
2026-03-02,sz002792,61.23,61.23,2675662545.3099995,3193144569.4509997,2850614675.46,0.8379396820639501,0.9386265244278346,0.34285714285714286,-13.19,0.12036,0.09388,3.56,-0.03155
2026-03-02,sz002856,63.15,63.15,87458400.2,92854516.368,87770261.72,0.9418863359686871,0.9964468429979749,0.37142857142857144,-9.99,0.08434,0.05736,-10.39,0.06132
2026-03-02,sz002865,88.01,88.01,2517801004.58,2617102485.979,2535974327.495,0.9620567089248498,0.9928337906586967,0.42857142857142855,-13.46,0.13437,0.11866,-3.69,0.08566
2026-03-02,sz002905,56.62,56.62,126995053.8,339343258.151,318106544.84000003,0.37423773936740506,0.39922175717533714,0.3142857142857143,-5.25,0.04404,0.02944,-20.01,0.14396
