discovery_date,symbol,rank,setup_score,pre20_return_pct,pre20_super_price_divergence,pre20_main_price_divergence,pre5_return_pct,pre5_super_price_divergence,launch_start_date,launch_end_date,pullback_confirm_date,pullback_confirm_reason,launch3_return_pct,launch3_max_drawdown_pct,launch3_super_net_ratio,launch3_main_net_ratio,launch3_add_buy_ratio,pullback_super_net_ratio,pullback_main_net_ratio,pullback_support_spread_avg,pullback_depth_from_launch_peak_pct,confirm_distribution_score,order_filter_available,launch_hist_order_days,launch_order_days,launch_cancel_buy_to_add_buy,launch_hist_cancel_buy_to_add_buy_avg,launch_cancel_buy_to_add_buy_vs_hist,orderbook_filter_reason
2026-03-17,sh600481,3,95.4,-31.89,0.30029,0.26474,-11.29,0.09047,2026-03-19,2026-03-23,2026-04-08,pullback_absorption_confirm,4.81,0.0,0.03287,0.05223,0.90414,0.00957,0.00393,-0.03021,-16.89,52.0,True,13.0,3.0,0.42411,0.38256,1.1086,
2026-03-17,sh603881,4,92.97,-14.58,0.13236,0.11604,-9.55,0.06407,2026-03-17,2026-03-19,2026-03-25,pullback_absorption_confirm,12.38,0.0,0.09605,0.07419,1.83128,0.03082,0.04516,-0.07034,-14.55,52.0,True,11.0,3.0,0.6875,0.35102,1.9586,
2026-03-17,sz000506,6,88.96,-11.16,0.10792,0.08946,-14.51,0.12078,2026-03-23,2026-03-25,2026-03-30,pullback_absorption_confirm,7.85,0.0,0.02236,0.01887,1.3595,0.00399,0.02404,0.03746,-7.62,12.0,True,15.0,3.0,0.00015,0.0008,0.1921,
2026-03-17,sh605376,7,88.95,-17.11,0.1801,0.15216,-7.76,0.05268,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,6.48,0.0,0.02705,0.02205,1.09117,-0.00585,0.0414,-0.02716,-5.49,40.9,True,15.0,3.0,0.54173,0.48245,1.1229,
2026-03-17,sh600031,8,88.87,-12.32,0.12697,0.12237,-5.49,0.06739,2026-03-23,2026-03-25,2026-03-31,pullback_absorption_confirm,5.79,0.0,-0.0161,0.02908,0.9411,0.02805,0.06866,-0.01053,-6.29,52.0,True,15.0,3.0,0.43077,0.35597,1.2101,
2026-03-17,sh603979,10,87.84,-17.77,0.17274,0.15277,-9.79,0.08816,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,11.51,0.0,0.03147,0.07667,0.88665,-0.06094,-0.02176,0.0332,-7.08,48.25,True,15.0,3.0,0.42774,0.44758,0.9557,
2026-03-18,sh603601,2,94.98,-11.57,0.16994,0.1358,-14.06,0.09873,2026-03-23,2026-03-25,,no_pullback_confirm,14.21,0.0,0.2009,0.16062,1.26571,,,,,,True,15.0,3.0,0.5354,0.39751,1.3469,
2026-03-18,sz000425,3,94.22,-10.74,0.12489,0.1304,-12.2,0.1378,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,4.97,0.0,0.01469,0.06644,1.44632,0.0096,0.13282,0.11549,-5.88,12.0,True,15.0,3.0,1e-05,0.00016,0.0492,
2026-03-18,sh600031,4,92.39,-13.21,0.14152,0.13563,-6.74,0.08478,2026-03-23,2026-03-25,2026-03-31,pullback_absorption_confirm,5.79,0.0,-0.0161,0.02908,0.9411,0.02805,0.06866,-0.01053,-6.29,52.0,True,15.0,3.0,0.43077,0.35597,1.2101,
2026-03-18,sz002558,5,92.1,-17.28,0.17363,0.17342,-5.4,0.06105,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-18,sh601168,6,92.06,-14.24,0.124,0.12538,-10.11,0.0623,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,7.09,0.0,0.0313,0.01574,0.84205,0.0324,0.03364,0.01585,-7.97,29.11,True,15.0,3.0,0.38571,0.38528,1.0011,
2026-03-18,sh603979,7,91.96,-22.43,0.22041,0.20209,-10.76,0.10209,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,11.51,0.0,0.03147,0.07667,0.88665,-0.06094,-0.02176,0.0332,-7.08,48.25,True,15.0,3.0,0.42774,0.44758,0.9557,
2026-03-18,sh603881,8,91.89,-16.14,0.13954,0.12148,-8.83,0.0591,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,8.5,0.0,0.01622,0.02288,0.91556,0.01816,-0.02839,0.00248,-7.93,53.03,True,15.0,3.0,0.41617,0.38196,1.0896,
2026-03-18,sh601100,9,91.79,-14.88,0.14483,0.12735,-9.47,0.09583,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-18,sh603993,10,89.92,-16.33,0.12998,0.10454,-9.59,0.04563,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,8.49,0.0,0.03712,0.0148,0.86978,0.04637,0.06506,-0.0655,-6.72,46.48,True,15.0,3.0,0.39653,0.35821,1.107,
2026-03-19,sh603979,1,92.67,-23.83,0.23254,0.21691,-9.6,0.08473,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,11.51,0.0,0.03147,0.07667,0.88665,-0.06094,-0.02176,0.0332,-7.08,48.25,True,15.0,3.0,0.42774,0.44758,0.9557,
2026-03-19,sz000425,2,88.04,-11.67,0.13694,0.14148,-6.28,0.07891,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,4.97,0.0,0.01469,0.06644,1.44632,0.0096,0.13282,0.11549,-5.88,12.0,True,15.0,3.0,1e-05,0.00016,0.0492,
2026-03-19,sz002493,4,86.96,-15.66,0.1646,0.14271,-7.54,0.09298,2026-03-23,2026-03-25,2026-03-26,pullback_absorption_confirm,5.85,0.0,0.02287,0.03691,1.42405,0.02705,0.00266,-0.04039,-3.45,36.54,True,15.0,3.0,0.00014,0.0003,0.4506,
2026-03-19,sh601168,5,83.48,-17.45,0.15629,0.15131,-9.85,0.06603,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,7.09,0.0,0.0313,0.01574,0.84205,0.0324,0.03364,0.01585,-7.97,29.11,True,15.0,3.0,0.38571,0.38528,1.0011,
2026-03-19,sh603612,6,82.64,-9.03,0.08886,0.09695,-13.95,0.14573,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-19,sz002444,7,82.55,-14.75,0.16539,0.17843,-7.22,0.13324,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-19,sh603799,8,82.47,-19.31,0.17972,0.17189,-10.16,0.06077,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,6.11,0.0,0.00089,0.01811,0.90251,0.04919,0.08284,-0.02032,-3.52,33.32,True,15.0,3.0,0.40119,0.35934,1.1165,
2026-03-19,sz002254,9,81.48,-11.85,0.12618,0.12953,-13.83,0.16931,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-19,sz002440,10,81.26,-16.92,0.16271,0.1544,-10.39,0.07275,,,,no_launch,,,,,,,,,,,,,,,,,
2026-03-20,sz002407,1,98.9,-15.81,0.15322,0.13854,-16.82,0.13866,2026-03-24,2026-03-26,2026-03-27,pullback_absorption_confirm,5.74,0.0,0.01865,0.03076,1.37507,0.07595,0.0877,-0.133,-6.79,38.0,True,16.0,3.0,0.00057,0.00065,0.8824,
2026-03-20,sh603799,2,98.31,-22.06,0.20164,0.18571,-15.44,0.10293,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,6.11,0.0,0.00089,0.01811,0.90251,0.04919,0.08284,-0.02032,-3.52,33.32,True,15.0,3.0,0.40119,0.35934,1.1165,
