route_id,top_n,min_route_score,min_breadth,max_leader_conc,max_gt7_ratio,require_preheat,selector_score,score_min,score_median,score_mean,internal_a_day2_avg_close_return_pct,internal_b_day2_avg_close_return_pct,internal_a_day2_still_loss_rate,internal_b_day2_still_loss_rate,internal_a_avg_filter_universe,internal_b_avg_filter_universe
tn12_s0.38_b0.20_c30_g0.18_preheat,12,0.38,0.2,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
tn16_s0.38_b0.10_c30_g0.18_preheat,16,0.38,0.1,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
tn16_s0.38_b0.15_c30_g0.18_preheat,16,0.38,0.15,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
tn16_s0.38_b0.20_c30_g0.18_preheat,16,0.38,0.2,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
tn20_s0.38_b0.10_c30_g0.18_preheat,20,0.38,0.1,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
tn20_s0.38_b0.15_c30_g0.18_preheat,20,0.38,0.15,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
tn20_s0.38_b0.20_c30_g0.18_preheat,20,0.38,0.2,30.0,0.18,True,41.13404,39.924,42.362,42.3172,1.3309,-1.2446,0.4324,0.6364,71.41,62.5
tn12_s0.44_b0.10_c35_g0.12_nopreheat,12,0.44,0.1,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn12_s0.44_b0.15_c35_g0.12_nopreheat,12,0.44,0.15,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn12_s0.44_b0.20_c35_g0.12_nopreheat,12,0.44,0.2,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn16_s0.44_b0.10_c35_g0.12_nopreheat,16,0.44,0.1,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn16_s0.44_b0.15_c35_g0.12_nopreheat,16,0.44,0.15,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn16_s0.44_b0.20_c35_g0.12_nopreheat,16,0.44,0.2,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn20_s0.44_b0.10_c35_g0.12_nopreheat,20,0.44,0.1,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn20_s0.44_b0.15_c35_g0.12_nopreheat,20,0.44,0.15,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn20_s0.44_b0.20_c35_g0.12_nopreheat,20,0.44,0.2,35.0,0.12,False,41.075073,39.0513,42.9485,43.324367,0.4338,-0.838,0.5833,0.5714,64.03,49.57
tn12_s0.50_b0.10_c35_g0.18_nopreheat,12,0.5,0.1,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,76.95,71.73
tn12_s0.50_b0.15_c35_g0.18_nopreheat,12,0.5,0.15,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,76.95,71.73
tn12_s0.50_b0.20_c35_g0.18_nopreheat,12,0.5,0.2,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,76.95,71.73
tn16_s0.50_b0.10_c35_g0.18_nopreheat,16,0.5,0.1,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,79.0,71.73
tn16_s0.50_b0.15_c35_g0.18_nopreheat,16,0.5,0.15,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,79.0,71.73
tn16_s0.50_b0.20_c35_g0.18_nopreheat,16,0.5,0.2,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,79.0,71.73
tn20_s0.50_b0.10_c35_g0.18_nopreheat,20,0.5,0.1,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,79.0,71.73
tn20_s0.50_b0.15_c35_g0.18_nopreheat,20,0.5,0.15,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,79.0,71.73
tn20_s0.50_b0.20_c35_g0.18_nopreheat,20,0.5,0.2,35.0,0.18,False,40.98899,37.6101,45.2546,43.0378,-0.1594,0.0046,0.5676,0.5,79.0,71.73
tn12_s0.50_b0.10_c35_g0.12_preheat,12,0.5,0.1,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn12_s0.50_b0.15_c35_g0.12_preheat,12,0.5,0.15,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn12_s0.50_b0.20_c35_g0.12_preheat,12,0.5,0.2,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn16_s0.50_b0.10_c35_g0.12_preheat,16,0.5,0.1,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn16_s0.50_b0.15_c35_g0.12_preheat,16,0.5,0.15,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn16_s0.50_b0.20_c35_g0.12_preheat,16,0.5,0.2,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn20_s0.50_b0.10_c35_g0.12_preheat,20,0.5,0.1,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn20_s0.50_b0.15_c35_g0.12_preheat,20,0.5,0.15,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn20_s0.50_b0.20_c35_g0.12_preheat,20,0.5,0.2,35.0,0.12,True,40.950733,36.8487,44.8041,45.425767,2.7034,-1.5061,0.3636,0.619,46.48,40.62
tn12_s0.38_b0.10_c30_g0.12_preheat,12,0.38,0.1,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn12_s0.38_b0.15_c30_g0.12_preheat,12,0.38,0.15,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn12_s0.38_b0.20_c30_g0.12_preheat,12,0.38,0.2,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn16_s0.38_b0.10_c30_g0.12_preheat,16,0.38,0.1,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn16_s0.38_b0.15_c30_g0.12_preheat,16,0.38,0.15,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn16_s0.38_b0.20_c30_g0.12_preheat,16,0.38,0.2,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn20_s0.38_b0.10_c30_g0.12_preheat,20,0.38,0.1,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn20_s0.38_b0.15_c30_g0.12_preheat,20,0.38,0.15,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn20_s0.38_b0.20_c30_g0.12_preheat,20,0.38,0.2,30.0,0.12,True,40.860193,40.2889,40.7249,42.491367,0.6006,-0.7004,0.5143,0.619,59.31,46.48
tn12_s0.38_b0.10_c35_g0.12_preheat,12,0.38,0.1,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn12_s0.38_b0.15_c35_g0.12_preheat,12,0.38,0.15,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn12_s0.38_b0.20_c35_g0.12_preheat,12,0.38,0.2,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn16_s0.38_b0.10_c35_g0.12_preheat,16,0.38,0.1,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn16_s0.38_b0.15_c35_g0.12_preheat,16,0.38,0.15,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn16_s0.38_b0.20_c35_g0.12_preheat,16,0.38,0.2,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn20_s0.38_b0.10_c35_g0.12_preheat,20,0.38,0.1,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn20_s0.38_b0.15_c35_g0.12_preheat,20,0.38,0.15,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn20_s0.38_b0.20_c35_g0.12_preheat,20,0.38,0.2,35.0,0.12,True,40.541727,39.7269,40.7249,42.304033,0.6006,-0.6425,0.5143,0.619,61.06,48.67
tn12_s0.44_b0.10_c35_g0.18_preheat,12,0.44,0.1,35.0,0.18,True,40.37139,36.6095,45.0654,42.7351,1.2436,-2.0262,0.4324,0.6522,64.62,57.87
tn12_s0.44_b0.15_c35_g0.18_preheat,12,0.44,0.15,35.0,0.18,True,40.37139,36.6095,45.0654,42.7351,1.2436,-2.0262,0.4324,0.6522,64.62,57.87
tn12_s0.44_b0.20_c35_g0.18_preheat,12,0.44,0.2,35.0,0.18,True,40.37139,36.6095,45.0654,42.7351,1.2436,-2.0262,0.4324,0.6522,64.62,57.87
tn16_s0.44_b0.10_c35_g0.18_preheat,16,0.44,0.1,35.0,0.18,True,40.37139,36.6095,45.0654,42.7351,1.2436,-2.0262,0.4324,0.6522,64.62,57.87
