source_id,business_source_name,metric,metric_label,window,horizon,threshold_low,threshold_high,low_day_n,high_day_n,low_candidate_n,high_candidate_n,low_avg_mfe,high_avg_mfe,mfe_lift_high_minus_low,low_avg_close,high_avg_close,close_lift_high_minus_low,low_pitfall_rate,high_pitfall_rate,pitfall_reduction_low_minus_high,supports_good_market_hypothesis,confidence
trend_continuation_callback,趋势延续策略,all_up_ratio_20d,全市场上涨占比,20,10,27.1644,46.4656,5,4,7,4,16.0349,5.7754,-10.2595,2.9766,-2.8841,-5.8607,40.0,50.0,-10.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_up_ratio_20d,全市场上涨占比,20,22,27.1644,46.4656,5,4,7,4,28.8591,11.2158,-17.6433,5.0316,-12.475,-17.5066,60.0,100.0,-40.0,0,low_sample
ALL,全部来源,all_med_ret_1d,全市场中位涨跌幅,1,5,-1.0114,0.2326,23,23,101,101,9.4654,9.2587,-0.2067,-0.3497,0.5029,0.8526,47.4534,36.0356,11.4178,0,directional
ALL,全部来源,all_med_ret_1d,全市场中位涨跌幅,1,10,-1.0114,0.2326,23,23,101,101,13.1921,12.3369,-0.8552,-1.9795,0.0458,2.0253,56.9928,42.6887,14.3041,0,directional
ALL,全部来源,all_med_ret_1d,全市场中位涨跌幅,1,22,-1.0114,0.2326,23,23,101,101,17.8045,20.4398,2.6353,0.2818,4.2217,3.9399,63.7008,53.7613,9.9395,1,directional
spark_opportunity_selector,星火机会模型,all_med_ret_1d,全市场中位涨跌幅,1,5,-1.0114,0.2326,23,22,64,64,10.0739,9.1038,-0.9701,-0.2918,-0.6487,-0.3569,47.8261,41.6667,6.1594,0,directional
spark_opportunity_selector,星火机会模型,all_med_ret_1d,全市场中位涨跌幅,1,10,-1.0114,0.2326,23,22,64,64,13.8228,11.6364,-2.1864,-1.7919,-0.7412,1.0507,59.4203,50.0,9.4203,0,directional
spark_opportunity_selector,星火机会模型,all_med_ret_1d,全市场中位涨跌幅,1,22,-1.0114,0.2326,23,22,64,64,18.9434,21.6664,2.723,1.6827,5.5479,3.8652,65.2174,59.0909,6.1265,1,directional
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_1d,全市场中位涨跌幅,1,5,-1.0114,0.2326,5,4,5,5,4.2538,5.6044,1.3506,-3.6554,-0.9169,2.7385,60.0,37.5,22.5,1,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_1d,全市场中位涨跌幅,1,10,-1.0114,0.2326,5,4,5,5,7.0169,6.0178,-0.9991,-7.6848,-2.2822,5.4026,80.0,62.5,17.5,0,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_1d,全市场中位涨跌幅,1,22,-1.0114,0.2326,5,4,5,5,7.0169,12.07,5.0531,-18.1332,4.2397,22.3729,80.0,62.5,17.5,1,low_sample
stable_capital_callback,资金流回调稳健策略,all_med_ret_1d,全市场中位涨跌幅,1,5,-1.0114,0.2326,10,12,30,30,5.1915,10.8605,5.669,-2.2131,6.3166,8.5297,56.6667,12.1528,44.5139,1,directional
stable_capital_callback,资金流回调稳健策略,all_med_ret_1d,全市场中位涨跌幅,1,10,-1.0114,0.2326,10,12,30,30,6.8874,17.608,10.7206,-4.0608,7.2225,11.2833,60.0,5.5556,54.4444,1,directional
stable_capital_callback,资金流回调稳健策略,all_med_ret_1d,全市场中位涨跌幅,1,22,-1.0114,0.2326,10,12,30,30,8.1263,25.411,17.2847,-5.0032,10.3454,15.3486,63.3333,21.5278,41.8055,1,directional
trend_continuation_callback,趋势延续策略,all_med_ret_1d,全市场中位涨跌幅,1,5,-1.0114,0.2326,2,1,2,2,13.0864,9.6169,-3.4695,1.9994,-9.9325,-11.9319,0.0,100.0,-100.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_med_ret_1d,全市场中位涨跌幅,1,10,-1.0114,0.2326,2,1,2,2,13.0864,18.9367,5.8503,-1.3053,-4.5635,-3.2582,0.0,100.0,-100.0,0,low_sample
trend_continuation_callback,趋势延续策略,all_med_ret_1d,全市场中位涨跌幅,1,22,-1.0114,0.2326,2,1,2,2,13.0864,20.6467,7.5603,-3.2948,-8.4916,-5.1968,50.0,100.0,-50.0,0,low_sample
ALL,全部来源,all_med_ret_3d,全市场中位涨跌幅,3,5,-2.0026,0.1671,23,23,94,110,8.4402,11.2734,2.8332,-2.7822,3.2019,5.9841,54.529,27.2312,27.2978,1,directional
ALL,全部来源,all_med_ret_3d,全市场中位涨跌幅,3,10,-2.0026,0.1671,23,23,94,110,11.0723,15.0703,3.998,-4.9879,2.3023,7.2902,68.2971,39.4382,28.8589,1,directional
ALL,全部来源,all_med_ret_3d,全市场中位涨跌幅,3,22,-2.0026,0.1671,23,23,94,110,16.5422,23.0666,6.5244,-0.7619,4.2527,5.0146,71.9203,57.2189,14.7014,1,directional
spark_opportunity_selector,星火机会模型,all_med_ret_3d,全市场中位涨跌幅,3,5,-2.0026,0.1671,23,23,63,67,8.4549,11.7377,3.2828,-2.6875,2.767,5.4545,53.6232,28.2609,25.3623,1,directional
spark_opportunity_selector,星火机会模型,all_med_ret_3d,全市场中位涨跌幅,3,10,-2.0026,0.1671,23,23,63,67,11.2547,14.92,3.6653,-4.5863,1.8074,6.3937,68.1159,42.029,26.0869,1,directional
spark_opportunity_selector,星火机会模型,all_med_ret_3d,全市场中位涨跌幅,3,22,-2.0026,0.1671,23,23,63,67,16.8764,23.5973,6.7209,0.0612,5.5069,5.4457,71.7391,56.5217,15.2174,1,directional
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_3d,全市场中位涨跌幅,3,5,-2.0026,0.1671,4,3,6,3,4.6603,6.065,1.4047,-6.1496,-1.6332,4.5164,75.0,33.3333,41.6667,1,low_sample
probe_d3_confirmed,试盘识别-三日确认,all_med_ret_3d,全市场中位涨跌幅,3,10,-2.0026,0.1671,4,3,6,3,4.6603,6.6161,1.9558,-10.4657,-6.3414,4.1243,87.5,100.0,-12.5,0,low_sample
