source_id,business_source_name,metric,metric_label,window,horizon,bucket,bucket_label,threshold_low,threshold_high,day_n,candidate_n,avg_candidates_per_day,avg_mfe_5d_pct,avg_close_5d_pct,hit10_rate,hit15_rate,close_loss5_rate,stop8_rate,pitfall_rate,full5_rate,avg_mfe_10d_pct,avg_close_10d_pct,full10_rate,avg_mfe_22d_pct,avg_close_22d_pct,full22_rate
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,5,low,低水位,27.4639,51.9334,23,63,2.7391,8.4549,-2.6875,28.2609,17.3913,40.5797,50.0,53.6232,82.6087,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,5,mid,中水位,27.4639,51.9334,20,57,2.85,7.1106,-0.6411,29.1667,12.5,30.0,45.8333,47.5,100.0,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,5,high,高水位,27.4639,51.9334,23,67,2.913,11.7377,2.767,44.9275,30.4348,28.2609,23.913,28.2609,100.0,,,,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,10,low,低水位,27.4639,51.9334,23,63,2.7391,,,38.4058,26.0869,50.0,65.2174,68.1159,,11.2547,-4.5863,73.913,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,10,mid,中水位,27.4639,51.9334,20,57,2.85,,,44.1667,29.1667,42.5,57.5,60.8333,,12.1217,0.4947,88.3333,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,10,high,高水位,27.4639,51.9334,23,67,2.913,,,52.1739,40.5797,35.5072,40.5797,42.029,,14.92,1.8074,95.6522,,,
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,22,low,低水位,27.4639,51.9334,23,63,2.7391,,,52.1739,39.1304,49.2754,70.2899,71.7391,,,,,16.8764,0.0612,43.4783
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,22,mid,中水位,27.4639,51.9334,20,57,2.85,,,52.5,42.5,46.6667,70.8333,72.5,,,,,19.1725,1.1497,68.3333
spark_opportunity_selector,星火机会模型,all_up_ratio_3d,全市场上涨占比,3,22,high,高水位,27.4639,51.9334,23,67,2.913,,,67.3913,60.1449,34.058,56.5217,56.5217,,,,,23.5973,5.5069,95.6522
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,5,low,低水位,27.4639,51.9334,4,6,1.5,4.6603,-6.1496,25.0,0.0,75.0,62.5,75.0,50.0,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,5,mid,中水位,27.4639,51.9334,4,4,1.0,5.0597,0.7032,0.0,0.0,25.0,25.0,50.0,100.0,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,5,high,高水位,27.4639,51.9334,3,3,1.0,6.065,-1.6332,0.0,0.0,33.3333,0.0,33.3333,100.0,,,,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,10,low,低水位,27.4639,51.9334,4,6,1.5,,,25.0,0.0,87.5,62.5,87.5,,4.6603,-10.4657,25.0,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,10,mid,中水位,27.4639,51.9334,4,4,1.0,,,50.0,50.0,25.0,25.0,50.0,,13.3438,4.4401,75.0,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,10,high,高水位,27.4639,51.9334,3,3,1.0,,,0.0,0.0,66.6667,100.0,100.0,,6.6161,-6.3414,100.0,,,
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,22,low,低水位,27.4639,51.9334,4,6,1.5,,,25.0,0.0,87.5,62.5,87.5,,,,,4.6603,-13.7438,0.0
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,22,mid,中水位,27.4639,51.9334,4,4,1.0,,,50.0,50.0,50.0,25.0,50.0,,,,,13.3438,-5.2817,25.0
probe_d3_confirmed,试盘识别-三日确认,all_up_ratio_3d,全市场上涨占比,3,22,high,高水位,27.4639,51.9334,3,3,1.0,,,33.3333,33.3333,33.3333,100.0,100.0,,,,,14.6858,-8.5544,66.6667
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,5,low,低水位,27.4639,51.9334,8,24,3.0,6.3345,-3.6236,25.0,12.5,50.0,54.1667,54.1667,50.0,,,,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,5,mid,中水位,27.4639,51.9334,8,16,2.0,6.1828,-2.0914,18.75,18.75,41.6667,35.4167,45.8333,100.0,,,,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,5,high,高水位,27.4639,51.9334,13,35,2.6923,10.4269,5.7234,28.718,20.5128,11.2179,12.8205,18.9103,100.0,,,,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,10,low,低水位,27.4639,51.9334,8,24,3.0,,,25.0,12.5,54.1667,62.5,62.5,,7.0886,-6.1403,25.0,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,10,mid,中水位,27.4639,51.9334,8,16,2.0,,,18.75,18.75,29.1667,39.5833,39.5833,,7.1446,-3.6377,75.0,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,10,high,高水位,27.4639,51.9334,13,35,2.6923,,,66.9872,35.3846,20.5128,21.7949,25.641,,17.5175,6.3983,92.3077,,,
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,22,low,低水位,27.4639,51.9334,8,24,3.0,,,29.1667,12.5,50.0,62.5,62.5,,,,,7.336,-6.3803,0.0
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,22,mid,中水位,27.4639,51.9334,8,16,2.0,,,37.5,31.25,47.9167,52.0833,52.0833,,,,,9.8786,-4.1348,62.5
stable_capital_callback,资金流回调稳健策略,all_up_ratio_3d,全市场上涨占比,3,22,high,高水位,27.4639,51.9334,13,35,2.6923,,,72.4359,59.6795,28.8462,36.5385,39.1026,,,,,25.2734,8.4381,92.3077
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,5,low,低水位,27.4639,51.9334,1,1,1.0,9.6382,1.1276,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,5,mid,中水位,27.4639,51.9334,6,7,1.1667,6.8586,1.4826,25.0,16.6667,41.6667,41.6667,41.6667,100.0,,,,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,5,high,高水位,27.4639,51.9334,4,5,1.25,10.0983,-0.8829,62.5,37.5,12.5,25.0,25.0,100.0,,,,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,10,low,低水位,27.4639,51.9334,1,1,1.0,,,0.0,0.0,0.0,0.0,0.0,,9.6382,-0.3334,100.0,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,10,mid,中水位,27.4639,51.9334,6,7,1.1667,,,25.0,16.6667,41.6667,66.6667,66.6667,,11.1802,0.2302,100.0,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,10,high,高水位,27.4639,51.9334,4,5,1.25,,,100.0,75.0,12.5,25.0,25.0,,18.7309,7.3014,100.0,,,
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,22,low,低水位,27.4639,51.9334,1,1,1.0,,,0.0,0.0,0.0,0.0,0.0,,,,,9.6382,-0.451,100.0
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,22,mid,中水位,27.4639,51.9334,6,7,1.1667,,,41.6667,33.3333,58.3333,83.3333,83.3333,,,,,22.0314,5.6312,100.0
trend_continuation_callback,趋势延续策略,all_up_ratio_3d,全市场上涨占比,3,22,high,高水位,27.4639,51.9334,4,5,1.25,,,100.0,100.0,37.5,75.0,75.0,,,,,39.2144,8.2542,100.0
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,5,low,低水位,26.005,49.0726,23,94,4.087,7.1392,-3.5095,23.1522,13.7319,45.616,54.7826,58.2246,86.9565,,,,,,
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,5,mid,中水位,26.005,49.0726,21,100,4.7619,9.7876,1.334,36.4547,21.0069,27.1625,31.2498,35.471,95.2381,,,,,,
ALL,全部来源,all_up_ratio_5d,全市场上涨占比,5,5,high,高水位,26.005,49.0726,23,94,4.087,9.9535,2.8625,37.764,25.8385,23.8199,23.0849,28.4576,100.0,,,,,,
