sample_name,rule_name,base_trade_count,base_win_rate_pct,base_avg_return_pct,base_median_return_pct,base_max_return_pct,base_min_return_pct,base_sum_return_pct,base_big_winner_gt_15_count,base_big_loss_le_-8_count,filtered_count,filtered_loss_count,filtered_big_winner_gt_15_count,filtered_trade_count,filtered_win_rate_pct,filtered_avg_return_pct,filtered_median_return_pct,filtered_max_return_pct,filtered_min_return_pct,filtered_sum_return_pct,filtered_big_loss_le_-8_count,kept_trade_count,kept_win_rate_pct,kept_avg_return_pct,kept_median_return_pct,kept_max_return_pct,kept_min_return_pct,kept_sum_return_pct,kept_big_winner_gt_15_count,kept_big_loss_le_-8_count,delta_avg_return_pct,delta_median_return_pct,delta_win_rate_pct
modes:v1.4-quality:mature,risk_count_R1_R5>=3,22,77.27,11.18,10.1,31.05,-5.61,246.0,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,77.27,11.18,10.1,31.05,-5.61,246.0,8,0,0.0,0.0,0.0
modes:v1.4-quality:mature,R2_and_any_R3_R4_R5,22,77.27,11.18,10.1,31.05,-5.61,246.0,8,0,2,2,0,2,0.0,-4.7,-4.7,-4.7,-4.7,-9.4,0,20,85.0,12.77,11.09,31.05,-5.61,255.4,8,0,1.59,0.99,7.73
modes:v1.4-quality:mature,R4_and_any_R1_R2_R3_R5,22,77.27,11.18,10.1,31.05,-5.61,246.0,8,0,3,3,0,3,0.0,-3.32,-4.7,-0.55,-4.7,-9.95,0,19,89.47,13.47,12.07,31.05,-5.61,255.95,8,0,2.29,1.97,12.2
modes:v1.4-quality:mature,risk_count_R1_R6>=2,22,77.27,11.18,10.1,31.05,-5.61,246.0,8,0,5,3,0,5,40.0,2.84,-0.55,12.07,-4.7,14.19,0,17,88.24,13.64,10.1,31.05,-5.61,231.81,8,0,2.46,0.0,10.97
threshold:none:full,risk_count_R1_R5>=2,105,51.43,2.31,0.79,62.3,-18.38,243.07,15,25,33,20,2,33,39.39,-2.93,-4.29,18.54,-18.38,-96.72,12,72,56.94,4.72,2.69,62.3,-18.38,339.79,13,13,2.41,1.9,5.51
threshold:none:full,risk_count_R1_R5>=3,105,51.43,2.31,0.79,62.3,-18.38,243.07,15,25,8,3,0,8,62.5,0.06,2.12,7.43,-11.08,0.48,1,97,50.52,2.5,0.79,62.3,-18.38,242.59,15,24,0.19,0.0,-0.91
threshold:none:full,R2_and_any_R3_R4_R5,105,51.43,2.31,0.79,62.3,-18.38,243.07,15,25,7,5,0,7,28.57,-3.86,-4.7,2.99,-11.08,-27.01,1,98,53.06,2.76,1.44,62.3,-18.38,270.08,15,24,0.45,0.65,1.63
threshold:none:full,R4_and_any_R1_R2_R3_R5,105,51.43,2.31,0.79,62.3,-18.38,243.07,15,25,8,6,0,8,25.0,-4.51,-4.7,7.43,-13.07,-36.1,3,97,53.61,2.88,1.25,62.3,-18.38,279.17,15,22,0.57,0.46,2.18
threshold:none:full,risk_count_R1_R6>=2,105,51.43,2.31,0.79,62.3,-18.38,243.07,15,25,44,27,3,44,38.64,-2.6,-4.7,18.54,-18.38,-114.22,16,61,60.66,5.86,3.23,62.3,-18.38,357.29,12,9,3.55,2.44,9.23
threshold:none:mature,risk_count_R1_R5>=2,74,58.11,3.23,2.61,62.3,-18.38,238.7,14,20,24,15,1,24,37.5,-3.86,-4.5,18.54,-18.38,-92.7,10,50,68.0,6.63,4.26,62.3,-18.38,331.4,13,10,3.4,1.65,9.89
threshold:none:mature,risk_count_R1_R5>=3,74,58.11,3.23,2.61,62.3,-18.38,238.7,14,20,7,2,0,7,71.43,0.99,2.99,7.43,-11.08,6.95,1,67,56.72,3.46,2.22,62.3,-18.38,231.75,14,19,0.23,-0.39,-1.39
threshold:none:mature,R2_and_any_R3_R4_R5,74,58.11,3.23,2.61,62.3,-18.38,238.7,14,20,6,4,0,6,33.33,-3.42,-4.5,2.99,-11.08,-20.54,1,68,60.29,3.81,3.21,62.3,-18.38,259.24,14,19,0.58,0.6,2.18
threshold:none:mature,R4_and_any_R1_R2_R3_R5,74,58.11,3.23,2.61,62.3,-18.38,238.7,14,20,6,4,0,6,33.33,-1.96,-2.62,7.43,-11.03,-11.75,1,68,60.29,3.68,3.18,62.3,-18.38,250.45,14,19,0.45,0.57,2.18
threshold:none:mature,risk_count_R1_R6>=2,74,58.11,3.23,2.61,62.3,-18.38,238.7,14,20,33,20,2,33,39.39,-2.77,-4.7,18.54,-18.38,-91.52,12,41,73.17,8.05,5.72,62.3,-18.38,330.22,12,8,4.82,3.11,15.06
threshold:1.5:full,risk_count_R1_R5>=2,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,18,12,1,18,33.33,-2.22,-3.67,18.54,-13.07,-40.02,7,57,66.67,6.75,5.29,62.3,-12.13,384.84,11,4,2.15,2.09,8.0
threshold:1.5:full,risk_count_R1_R5>=3,75,58.67,4.6,3.2,62.3,-13.07,344.82,12,11,3,1,0,3,66.67,-0.14,5.33,5.33,-11.08,-0.42,1,72,58.33,4.79,3.18,62.3,-13.07,345.24,12,10,0.19,-0.02,-0.34
