symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sh603826,2026-03-24,58.62,23.18,-3.84,-1.07,-14.64,-7.63,366777922.08000004,1.1797530109765304,5.594102341717266,0.9813819543955233,-0.11563724806409975,0.01616,0.05181,0.00258,0.04243,0.6,0.7,1.0,40.11,83.52,58.88,26.33,18,趋势中继原型,2026-03-24,2026-03-26,回踩均线承接,2026-03-26,-0.51,0.593,0.01177,0.07522,-0.02823,-0.07504,0.04931,7.52154,-4.8,-14.5,0.58895,1.09784,1.129,回踩均线承接
sz000883,2026-03-26,61.25,12.63,4.16,7.79,-9.79,-0.19,608146844.3000001,2.1008079274337916,0.7604562737642651,10.727849698060169,0.04060951834491022,-0.00124,-0.0156,0.03059,0.02191,0.5,0.25,1.0,44.24,67.54,68.83,71.33,10,趋势中继原型,2026-03-26,2026-03-27,回踩均线承接,2026-03-27,-1.51,1.484,0.00143,0.03277,0.14193,0.29537,-0.01124,3.27676,-2.79,-4.28,0.00013,1.51318,2.107,回踩均线承接
sh603529,2026-03-26,60.43,11.38,13.41,13.65,-13.61,-1.97,764274482.34,2.1377961209504064,-1.4819388700216152,-0.6545511678845415,0.021320077114325264,0.04434,0.04496,0.05967,0.05589,0.35,0.5,1.0,50.89,82.86,31.56,82.75,11,趋势中继原型,2026-03-26,2026-03-31,回踩均线承接,2026-03-31,1.06,1.861,0.03345,-0.00018,0.00204,0.00202,-0.08655,-0.01823,-4.2,-6.34,0.42342,0.98183,2.151,回踩均线承接
sz000993,2026-03-26,60.38,19.66,7.76,10.88,-15.78,0.57,1762369824.18,2.6378014922019575,1.9108280254777066,-9.492520095084956,0.13317194120093467,0.02568,0.01042,0.04402,0.0176,0.45,0.35,1.0,56.49,63.35,45.03,100.0,12,趋势中继原型,2026-03-26,2026-03-27,回踩均线承接,2026-03-27,1.69,1.824,0.07762,0.009,0.14616,0.00272,-0.09807,0.89952,-5.79,-13.61,0.00348,1.48937,1.681,回踩均线承接
sh605366,2026-03-26,59.03,25.81,6.86,5.85,-21.86,1.87,912402648.4500002,1.7528522046693262,1.8733273862622468,-6.588777662156726,-0.017572727388766474,0.01208,0.03584,0.01659,0.03823,0.6,0.6,1.0,63.59,75.32,20.21,85.35,14,趋势中继原型,2026-03-26,2026-04-07,回踩均线承接,2026-04-07,3.1,0.654,0.02091,0.07131,0.0084,0.06773,-0.13139,7.13101,-8.67,-12.5,0.39834,1.04422,0.721,回踩均线承接
sz002638,2026-03-27,59.67,31.45,1.95,10.88,-16.67,0.91,557525170.0,1.5162222506237535,5.741626794258381,4.677049827185385,0.5389219853518004,0.01245,0.00951,-0.01119,-0.02542,0.55,0.5,1.0,66.46,45.11,75.17,51.5,11,趋势中继原型,2026-03-27,2026-03-30,回踩均线承接,2026-03-30,-2.49,1.061,0.0154,0.03288,0.0161,0.09396,-0.00478,3.28796,-6.3,-11.09,0.0,1.43568,1.023,回踩均线承接
sh603165,2026-03-27,58.4,10.62,2.53,0.27,-17.49,-7.34,301293636.36,1.1607512213919748,1.0000000000000009,2.655995259866163,0.0029629318122519344,0.04314,0.06043,0.05253,0.06246,0.6,0.7,1.0,30.19,100.0,49.03,20.9,14,趋势中继原型,2026-03-27,2026-04-02,回踩均线承接,2026-04-02,1.85,0.997,0.02713,0.10975,-0.02289,-0.00051,-0.09378,10.9753,-5.57,-9.71,0.41132,1.02226,1.157,回踩均线承接
sh600152,2026-03-30,69.07,12.04,-3.07,15.52,-20.66,4.04,1516304426.74,2.2536680885703224,8.733205374280239,6.958436990574853,0.11736683874399545,0.0126,0.02574,0.02914,0.03278,0.5,0.65,1.0,37.02,88.64,67.76,100.0,3,趋势中继原型,2026-03-30,2026-04-01,回踩均线承接,2026-04-01,-0.57,1.329,0.00915,0.00738,0.02528,0.05782,-0.05025,0.7378,-11.94,-14.82,0.35139,0.98733,1.704,回踩均线承接
sz002294,2026-03-30,67.63,26.8,11.8,13.13,-15.32,1.97,859182327.2499999,1.6836292595941533,1.971557853910788,7.690437041633171,-0.06343789383384335,0.01335,0.03558,0.00576,0.02037,0.6,0.65,1.0,69.28,76.77,48.23,79.15,4,趋势中继原型,2026-03-30,2026-04-02,回踩均线承接,2026-04-02,3.41,2.159,-0.00208,0.03083,0.00828,0.0536,0.07583,3.08323,2.55,-14.21,0.0024,1.31932,1.448,回踩均线承接
sh600186,2026-03-30,67.42,15.16,15.91,15.72,-20.3,-0.67,2185844481.38,1.8039248199209155,3.5014005602240994,6.117138837598528,-0.10923885173626369,0.03456,0.01161,0.05916,0.05056,0.55,0.4,1.0,57.98,87.14,40.7,93.46,5,趋势中继原型,2026-03-30,2026-04-01,回踩均线承接,2026-04-01,3.38,1.383,0.00378,0.02842,0.01147,0.06086,-0.12022,2.84242,-1.34,-9.47,0.31287,1.01233,1.488,回踩均线承接
sz002460,2026-03-30,58.89,10.75,12.85,17.89,-20.76,0.6,9112677025.35,2.2892922671633644,0.6024852516631096,-13.756005361573251,-0.00490149608899193,0.02759,0.01292,0.06462,0.04967,0.5,0.5,1.0,49.58,82.86,20.07,100.0,10,趋势中继原型,2026-03-30,2026-04-02,回踩均线承接,2026-04-02,3.39,1.61,0.01183,0.02561,-0.05888,-0.05494,-0.02794,2.56126,-1.93,-6.69,0.00105,1.36573,1.695,回踩均线承接
sz002869,2026-03-30,58.24,11.87,7.22,5.56,-15.2,-0.55,239824987.31,1.43020897573464,3.632653061224489,11.206489849725244,-0.2010221822619469,0.03813,0.05301,0.02418,0.06318,0.4,0.5,1.0,45.99,82.86,51.61,25.38,11,趋势中继原型,2026-03-30,2026-04-01,回踩均线承接,2026-04-01,0.16,1.58,0.00467,0.08124,0.01182,0.17287,-0.04324,8.1237,-1.98,-6.59,6e-05,1.57745,1.252,回踩均线承接
sz002370,2026-03-31,66.61,10.97,10.63,16.94,-19.22,3.48,997373237.7700001,5.88148814839692,3.481894150417819,0.07684797936965282,0.04237334004920035,0.04804,0.01208,0.10696,0.07602,0.5,0.15,1.0,47.88,82.86,53.07,99.81,3,趋势中继原型,2026-03-31,2026-04-01,回踩均线承接,2026-04-01,3.63,4.694,0.02992,0.01838,0.19298,0.18749,-0.17842,1.83781,-1.03,-9.51,0.00073,1.62521,3.948,回踩均线承接
sh600066,2026-03-31,63.22,10.1,4.55,1.49,-9.46,8.44,1095848960.02,1.7696113987957307,9.999999999999986,11.864183103995202,1.0783514938212222,0.0087,0.01357,0.00044,-0.00756,0.55,0.65,1.0,41.33,53.95,90.81,92.32,6,趋势中继原型,2026-03-31,2026-04-08,回踩均线承接,2026-04-08,0.99,1.272,0.03868,0.05023,0.02395,0.04905,0.07894,5.02297,-4.65,-8.31,0.44451,0.87371,1.62,回踩均线承接
sh603052,2026-03-31,60.31,11.25,10.29,6.67,-21.5,-4.68,771975643.74,1.2720798490675724,3.0788564247565375,10.176907797166198,0.00376621656858811,0.03547,0.03233,0.04892,0.03061,0.5,0.55,1.0,42.92,84.81,47.37,59.05,8,趋势中继原型,2026-03-31,2026-04-01,回踩均线承接,2026-04-01,-2.09,1.044,0.00531,0.03604,0.07532,0.15369,0.12516,3.60405,-6.67,-11.86,0.39769,1.0315,0.919,回踩均线承接
sz002821,2026-04-01,73.26,13.96,11.37,14.79,-17.55,10.0,2192346026.47,4.505673576557229,10.002708314525588,8.757132759244527,0.7767535530611196,0.03913,0.03828,0.07544,0.05773,0.4,0.5,1.0,52.39,82.86,74.16,100.0,3,趋势中继原型,2026-04-01,2026-04-13,回踩均线承接,2026-04-13,-0.26,0.936,0.00171,0.02231,-0.10532,-0.06113,-0.08391,2.23091,-6.81,-13.37,0.00031,1.52175,1.706,回踩均线承接
sh605116,2026-04-01,67.69,19.08,11.54,17.33,-18.0,5.78,578548031.73,3.54434819685485,5.784280367471917,-0.7952462384570325,0.02258826405635206,0.02421,0.06895,0.01995,0.03999,0.6,0.8,1.0,59.12,90.56,45.39,69.16,7,趋势中继原型,2026-04-01,2026-04-07,回踩均线承接,2026-04-07,-0.42,1.332,0.03652,0.01633,-0.06751,-0.1359,0.07925,1.63269,-11.5,-13.12,0.38296,0.96932,2.764,回踩均线承接
sz002990,2026-04-01,67.16,15.28,2.09,-0.34,-7.71,1.02,476619461.77,2.94373392244579,4.748889648103871,16.100079844626695,-0.019504558134233463,0.02795,0.02813,0.00333,0.01609,0.6,0.4,1.0,45.8,79.25,78.07,61.7,8,趋势中继原型,2026-04-01,2026-04-07,回踩均线承接,2026-04-07,2.86,1.901,-0.00179,0.05822,-0.102,0.02259,-0.01312,5.82183,-2.0,-10.34,0.00075,1.47082,2.448,回踩均线承接
sz002382,2026-04-01,61.27,28.59,0.0,1.4,-12.94,-2.47,717783274.19,1.7755864912012898,4.145728643216073,4.996132804915057,-0.08117460093473361,0.0169,0.01905,-0.00445,-0.01201,0.6,0.4,1.0,60.16,61.63,57.86,71.87,12,趋势中继原型,2026-04-01,2026-04-02,回踩均线承接,2026-04-02,-1.09,1.398,0.00855,0.05574,0.03232,0.2345,-0.12131,5.57417,-3.53,-6.95,0.00072,1.53197,1.313,回踩均线承接
sh603738,2026-04-01,59.09,12.7,7.78,2.13,-18.14,-2.45,1464065747.6399999,1.295216160817345,1.4660493827160392,0.8034251671388972,-0.039205665594270966,0.0036,0.00794,0.02117,0.0307,0.6,0.55,1.0,46.72,75.56,43.88,76.51,15,趋势中继原型,2026-04-01,2026-04-03,回踩均线承接,2026-04-03,1.69,1.011,0.00323,0.02196,-0.07647,-0.04363,-0.13189,2.19559,-7.79,-10.75,0.37333,1.08138,1.091,回踩均线承接
