variant_id,period,month,top1_days,top1_picks,top1_day1_no_red_rate,top1_day2_still_loss_rate,top1_deep_pain_rate,top1_day1_green_rate,top1_day1_positive_close_rate,top1_day1_avg_mfe_pct,top1_day1_median_mfe_pct,top1_day1_avg_close_return_pct,top1_day2_avg_close_return_pct,top1_day2_median_close_return_pct,top1_hit2_rate,top1_hit3_rate,top1_hit5_rate,top1_hit7_rate,top1_hit10_rate,top3_pick_days,top3_pick_picks,top3_pick_day1_no_red_rate,top3_pick_day2_still_loss_rate,top3_pick_deep_pain_rate,top3_pick_day1_green_rate,top3_pick_day1_positive_close_rate,top3_pick_day1_avg_mfe_pct,top3_pick_day1_median_mfe_pct,top3_pick_day1_avg_close_return_pct,top3_pick_day2_avg_close_return_pct,top3_pick_day2_median_close_return_pct,top3_pick_hit2_rate,top3_pick_hit3_rate,top3_pick_hit5_rate,top3_pick_hit7_rate,top3_pick_hit10_rate,top3_any_day1_green_rate,top3_any_hit3_rate,top3_any_hit5_rate,top3_any_day2_non_loss_rate,stable_month_score,offensive_month_score
lpn_010_lowpain_heat,final_2026,2026-04,8,8,0.125,0.75,0.375,0.875,0.5,1.2317,0.8154,-1.0439,-0.6699,-1.0856,0.375,0.0,0.0,0.0,0.0,8,24,0.125,0.4583,0.2917,0.875,0.5833,1.6875,1.4288,-0.3639,0.3528,0.2127,0.4167,0.1667,0.0417,0.0,0.0,0.875,0.25,0.125,0.75,38.3788,24.6632
lpn_011_hybrid_market,internal_2025,2025-10,17,17,0.0588,0.5294,0.2353,0.9412,0.5294,1.5922,1.0526,-0.126,-0.174,-0.154,0.3529,0.1765,0.0588,0.0,0.0,17,51,0.0196,0.3725,0.1373,0.9804,0.6275,1.169,0.9247,0.1255,0.183,0.6283,0.1373,0.0784,0.0196,0.0,0.0,1.0,0.1765,0.0588,0.9412,49.5542,33.7166
lpn_011_hybrid_market,internal_2025,2025-11,20,20,0.05,0.5,0.05,0.95,0.6,1.1909,0.8662,0.1926,0.1211,-0.0001,0.2,0.05,0.0,0.0,0.0,20,60,0.0833,0.5167,0.1,0.9167,0.5667,1.0198,0.8368,-0.0135,-0.1414,-0.0949,0.1667,0.0167,0.0,0.0,0.0,1.0,0.05,0.0,0.75,52.5999,33.5889
lpn_011_hybrid_market,internal_2025,2025-12,23,23,0.0,0.4783,0.087,1.0,0.5217,1.035,0.7005,0.1998,0.4156,0.6217,0.0435,0.0435,0.0,0.0,0.0,23,69,0.058,0.5217,0.029,0.942,0.5797,0.805,0.627,0.0333,0.0369,-0.1056,0.029,0.0145,0.0,0.0,0.0,1.0,0.0435,0.0,0.913,53.6684,34.2741
lpn_011_hybrid_market,final_2026,2026-01,20,20,0.05,0.8,0.4,0.95,0.25,0.8032,0.4997,-0.7332,-1.6045,-1.8209,0.1,0.0,0.0,0.0,0.0,20,60,0.0333,0.6667,0.1667,0.9667,0.45,0.7883,0.528,-0.2359,-0.6374,-0.5318,0.05,0.0167,0.0,0.0,0.0,1.0,0.05,0.0,0.6,37.3591,23.1204
lpn_011_hybrid_market,final_2026,2026-02,14,14,0.0,0.6429,0.0,1.0,0.5714,0.6299,0.4063,-0.2121,-0.3491,-0.3021,0.0,0.0,0.0,0.0,0.0,14,42,0.119,0.6429,0.0,0.881,0.4762,0.5297,0.4022,-0.1302,-0.3143,-0.3114,0.0238,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5714,50.1719,31.0001
lpn_011_hybrid_market,final_2026,2026-03,22,22,0.0455,0.2727,0.0909,0.9545,0.8182,1.3335,1.4331,0.4715,0.7171,0.9997,0.1364,0.0,0.0,0.0,0.0,22,66,0.0303,0.4697,0.1515,0.9697,0.5758,1.1057,0.981,0.0575,-0.0616,0.0,0.0909,0.0303,0.0152,0.0,0.0,1.0,0.0909,0.0455,0.8182,57.2513,36.3514
lpn_011_hybrid_market,final_2026,2026-04,8,8,0.125,0.75,0.0,0.875,0.375,0.6727,0.595,-0.167,-0.3441,-0.752,0.0,0.0,0.0,0.0,0.0,8,24,0.0833,0.5833,0.0417,0.9167,0.3333,0.6722,0.5349,-0.171,-0.1906,-0.5227,0.0417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,44.863,27.7979
lpn_012_lowpain_orderbook,internal_2025,2025-10,17,17,0.0588,0.2353,0.0588,0.9412,0.5882,1.6909,1.5766,0.4113,0.4633,0.5172,0.2941,0.1176,0.0588,0.0,0.0,17,51,0.0196,0.3137,0.0784,0.9804,0.6863,1.9658,1.157,0.7691,0.8372,0.365,0.2941,0.098,0.0588,0.0392,0.0196,1.0,0.2941,0.1765,0.9412,59.4025,39.2464
lpn_012_lowpain_orderbook,internal_2025,2025-11,20,20,0.0,0.45,0.15,1.0,0.65,1.5994,0.7578,0.3135,0.115,0.0,0.25,0.2,0.05,0.05,0.0,20,60,0.05,0.4333,0.15,0.95,0.6,1.2315,0.6897,0.0635,-0.1742,0.0,0.1167,0.1,0.0333,0.0333,0.0167,1.0,0.3,0.1,0.75,54.7029,37.4169
