variant_id,period,trade_date,rank,symbol,name,final_score,model_score,entry_date,exit_date,entry_buyable,entry_gap_pct,entry_open,close_return_pct,max_runup_pct,max_drawdown_pct,hit_2pct,hit_3pct,loss_3pct,positive_close
blitz_005_raw_full,final_2026,2026-01-30,1,sz002995,sz002995,11.6546241250524,11.6546241250524,2026-02-02,2026-02-03,1,1.4489,35.01,5.6555,6.4553,-3.6561,1,1,1,1
blitz_005_raw_full,final_2026,2026-01-30,2,sh600916,sh600916,9.356621152685946,9.356621152685946,2026-02-02,2026-02-03,1,-10.0136,13.21,-1.6654,0.0,-9.9924,0,0,1,0
blitz_005_raw_full,final_2026,2026-01-30,3,sh601069,sh601069,9.144851141782606,9.144851141782606,2026-02-02,2026-02-03,1,-9.9955,40.25,-1.3913,-1.2422,-9.9876,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-02,1,sz002491,sz002491,7.297623589027877,7.297623589027877,2026-02-03,2026-02-04,1,-0.5787,8.59,8.7311,13.0384,2.3283,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-02,2,sz002780,sz002780,6.844868188899334,6.844868188899334,2026-02-03,2026-02-04,1,0.0,16.41,3.4735,5.5454,2.0719,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-02,3,sz002830,sz002830,6.80439067853212,6.80439067853212,2026-02-03,2026-02-04,1,-2.8538,24.85,24.5473,24.5473,13.4406,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-03,1,sh603172,sh603172,7.340267604639585,7.340267604639585,2026-02-04,2026-02-05,1,-1.7668,30.58,-17.5278,-12.034,-17.5278,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-03,2,sz000995,sz000995,6.964258918386945,6.964258918386945,2026-02-04,2026-02-05,1,2.7504,19.8,1.4646,5.0505,-3.9899,1,1,1,1
blitz_005_raw_full,final_2026,2026-02-03,3,sz002126,sz002126,6.815816736944851,6.815816736944851,2026-02-04,2026-02-05,1,4.9389,41.22,7.7147,8.8792,1.7225,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-04,1,sz000517,sz000517,6.480745736062137,6.480745736062137,2026-02-05,2026-02-06,1,-1.4706,2.01,3.4826,4.4776,0.0,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-04,2,sz002928,sz002928,6.447104481765676,6.447104481765676,2026-02-05,2026-02-06,1,0.1735,11.55,0.4329,2.5108,-0.0866,1,0,0,1
blitz_005_raw_full,final_2026,2026-02-04,3,sh600778,sh600778,6.436830363523989,6.436830363523989,2026-02-05,2026-02-06,1,-0.2513,7.94,-2.267,0.2519,-5.0378,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-05,1,sh600156,sh600156,7.440394652544679,7.440394652544679,2026-02-06,2026-02-09,1,-0.9967,8.94,-5.7047,-4.3624,-6.4877,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-05,2,sh601116,sh601116,7.127433256546133,7.127433256546133,2026-02-06,2026-02-09,1,-3.9109,19.41,-6.0793,-3.0912,-9.2736,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-05,3,sz003036,sz003036,6.977813543169448,6.977813543169448,2026-02-06,2026-02-09,1,-1.0718,18.46,-4.117,-2.6002,-6.2839,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-06,1,sz002412,sz002412,7.631219440768289,7.631219440768289,2026-02-09,2026-02-10,1,2.2398,7.76,3.3505,10.8247,2.4485,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-06,2,sz002519,sz002519,7.586645046274349,7.586645046274349,2026-02-09,2026-02-10,1,2.8361,9.79,1.0215,5.8223,-5.7201,1,1,1,1
blitz_005_raw_full,final_2026,2026-02-06,3,sh603616,sh603616,7.581823232520647,7.581823232520647,2026-02-09,2026-02-10,1,2.5332,8.5,-1.6471,8.9412,-3.4118,1,1,1,0
blitz_005_raw_full,final_2026,2026-02-09,1,sh603103,sh603103,7.5365958528502395,7.5365958528502395,2026-02-10,2026-02-11,1,6.6413,39.18,-7.172,3.2414,-7.172,1,1,1,0
blitz_005_raw_full,final_2026,2026-02-09,2,sh600683,sh600683,7.510633037535039,7.510633037535039,2026-02-10,2026-02-11,1,-3.7538,6.41,12.4805,14.6646,-0.156,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-09,3,sh603191,sh603191,7.264400811124209,7.264400811124209,2026-02-10,2026-02-11,1,2.0637,22.75,-3.2527,-0.4396,-4.5714,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-10,1,sh601869,sh601869,7.003547861123587,7.003547861123587,2026-02-11,2026-02-12,1,-1.4895,208.33,8.9617,10.2914,0.8736,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-10,2,sz000056,sz000056,6.875950323888682,6.875950323888682,2026-02-11,2026-02-12,1,-5.3942,2.28,-7.8947,-4.8246,-9.2105,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-10,3,sz000815,sz000815,6.729038270552848,6.729038270552848,2026-02-11,2026-02-12,1,-3.4127,15.0,4.0,10.2,4.0,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-11,1,sh603629,sh603629,7.758296827311731,7.758296827311731,2026-02-12,2026-02-13,1,6.8803,61.05,-5.864,0.9337,-6.3227,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-11,2,sh605287,sh605287,7.740975861244303,7.740975861244303,2026-02-12,2026-02-13,1,-0.9961,60.63,-0.0165,12.0567,-0.0165,1,1,0,0
blitz_005_raw_full,final_2026,2026-02-11,3,sz001330,sz001330,7.669214961133521,7.669214961133521,2026-02-12,2026-02-13,1,-10.0,12.06,5.8872,8.3748,-10.0332,1,1,1,1
blitz_005_raw_full,final_2026,2026-02-12,1,sz002455,sz002455,6.86094672567684,6.86094672567684,2026-02-13,2026-02-23,1,0.3546,14.15,4.8057,4.8057,0.7067,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-12,2,sz000962,sz000962,6.657612306621241,6.657612306621241,2026-02-13,2026-02-23,1,-1.0002,48.5,-8.1649,-8.1649,-16.9897,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-12,3,sh600589,sh600589,6.646628451725523,6.646628451725523,2026-02-13,2026-02-23,1,10.0289,15.25,-17.377,-17.377,-17.377,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-13,1,sh600589,sh600589,8.648301265395501,8.648301265395501,2026-02-23,2026-02-24,1,-4.4731,12.6,-5.6349,7.1429,-5.7937,1,1,1,0
blitz_005_raw_full,final_2026,2026-02-13,2,sz002951,sz002951,7.820479731796872,7.820479731796872,2026-02-23,2026-02-24,1,-25.4107,14.53,20.6469,34.0674,20.6469,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-13,3,sh603533,sh603533,7.752351951602469,7.752351951602469,2026-02-23,2026-02-24,1,-17.3578,31.09,8.9096,15.2461,8.9096,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-24,1,sh603466,sh603466,8.219045821325652,8.219045821325652,2026-02-25,2026-02-26,1,-3.1907,12.44,1.6881,6.5916,-1.045,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-24,2,sz002498,sz002498,7.852372932007012,7.852372932007012,2026-02-25,2026-02-26,1,5.2349,7.84,6.8878,12.1173,0.0,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-24,3,sz002455,sz002455,7.656201860618362,7.656201860618362,2026-02-25,2026-02-26,1,5.5096,15.32,-7.9634,-4.8956,-13.0548,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-25,1,sh600397,sh600397,8.62137808715795,8.62137808715795,2026-02-26,2026-02-27,1,2.1345,19.14,12.4869,12.4869,1.3584,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-25,2,sh601872,sh601872,8.250482994271241,8.250482994271241,2026-02-26,2026-02-27,1,-0.7458,14.64,10.929,12.0902,6.8989,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-25,3,sh605289,sh605289,8.216137155199545,8.216137155199545,2026-02-26,2026-02-27,1,-0.0184,108.86,13.8159,15.745,4.9513,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-26,1,sz001896,sz001896,8.222819023882332,8.222819023882332,2026-02-27,2026-03-02,1,5.2762,12.77,10.7283,13.5474,-1.7228,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-26,2,sz000890,sz000890,8.201924987409337,8.201924987409337,2026-02-27,2026-03-02,1,-2.3691,7.83,7.6628,7.6628,-9.7063,1,1,1,1
blitz_005_raw_full,final_2026,2026-02-26,3,sh605289,sh605289,8.158509848623757,8.158509848623757,2026-02-27,2026-03-02,1,0.6912,117.99,11.3145,13.0011,-2.4748,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-27,1,sz002470,sz002470,8.914332149200169,8.914332149200169,2026-03-02,2026-03-03,1,8.0645,3.35,-16.7164,-7.7612,-19.403,0,0,1,0
blitz_005_raw_full,final_2026,2026-02-27,2,sh603618,sh603618,7.883803202654557,7.883803202654557,2026-03-02,2026-03-03,1,2.6997,18.64,0.4292,6.8133,0.1073,1,1,0,1
blitz_005_raw_full,final_2026,2026-02-27,3,sz000899,sz000899,7.861210838717176,7.861210838717176,2026-03-02,2026-03-03,1,1.848,14.88,-7.7285,2.0161,-8.3333,1,0,1,0
blitz_005_raw_full,final_2026,2026-03-02,1,sz002842,sz002842,6.784392669652749,6.784392669652749,2026-03-03,2026-03-04,1,-0.0219,45.71,0.7438,4.1129,-9.8884,1,1,1,1
blitz_005_raw_full,final_2026,2026-03-02,2,sz000890,sz000890,6.775612050773319,6.775612050773319,2026-03-03,2026-03-04,1,1.4235,8.55,3.7427,3.7427,-10.4094,1,1,1,1
