symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,entry_signal_date,entry_date,gross_entry_price,entry_price,exit_signal_date,exit_date,gross_exit_price,exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_amount,final_cum_super_peak_amount,final_cum_super_ratio,final_super_peak_drawdown_pct,final_super_decline_streak,future_days_available,is_mature_trade
sh600121,2026-03-13,71.56,18.98,7.08,8.44,-11.87,9.92,299188885.25,1.0149875452858106,9.922178988326857,42.60429164789638,1.5078871416731547,0.0463,0.02582,0.06168,0.04798,0.6,0.35,1.0,55.01,91.43,85.86,15.89,6,趋势中继原型,2026-03-13,2026-03-16,5.72,5.7343,2026-03-17,2026-03-18,5.17,5.1571,-9.62,-10.07,2.27,-11.19,2,hard_stop_8pct,-89663154.17,0.0,-0.03832,0.0,0,27,True
sz000545,2026-03-13,71.33,33.56,11.93,5.07,-21.39,-5.29,961047165.8599999,1.8997822794543424,0.0,0.8843001240625981,-0.16450862477547856,0.06925,0.03727,0.06814,0.03626,0.65,0.5,1.0,71.92,95.71,27.5,93.81,7,趋势中继原型,2026-03-13,2026-03-16,3.87,3.8797,2026-03-19,2026-03-20,3.42,3.4115,-11.63,-12.07,11.89,-10.59,4,hard_stop_8pct,102482363.88,129351810.24,0.03578,20.77,2,27,True
sh603936,2026-03-13,71.15,32.15,16.13,13.35,-21.18,-5.28,1132622924.75,1.7610860119396823,-1.216389244558258,0.8721490466194126,0.04574569449178034,0.025,0.01922,0.02978,0.03311,0.6,0.4,1.0,73.87,85.21,39.86,92.04,8,趋势中继原型,2026-03-13,2026-03-16,15.4,15.4385,2026-03-19,2026-03-20,14.26,14.2244,-7.4,-7.86,2.21,-8.9,4,hard_stop_8pct,-114259709.33,0.0,-0.03432,0.0,3,27,True
sz000545,2026-03-16,80.38,30.46,13.22,8.84,-21.39,-1.92,1068323754.4500002,1.9374100345929222,3.5532994923857864,7.560056747177754,0.6472083519063605,0.06349,0.03455,0.05876,0.03091,0.65,0.5,1.0,75.25,95.32,58.6,97.91,1,趋势中继原型,2026-03-16,2026-03-17,4.0,4.01,2026-03-19,2026-03-20,3.42,3.4115,-14.5,-14.93,3.5,-13.5,3,hard_stop_8pct,-23054870.12,3814576.24,-0.01284,704.39,2,26,True
sz002831,2026-03-16,72.51,13.57,8.51,15.78,-20.14,2.65,1306138379.73,3.1621320281252006,10.011574074074069,16.085944052377666,0.19762417666140286,0.00948,0.01863,0.04632,0.05354,0.45,0.55,1.0,49.33,87.14,68.83,100.0,2,趋势中继原型,2026-03-16,2026-03-17,36.16,36.2504,2026-03-23,2026-03-24,32.73,32.6482,-9.49,-9.94,8.9,-11.64,5,hard_stop_8pct,-67097074.4,0.0,-0.01762,0.0,1,26,True
sz002531,2026-03-16,71.63,32.55,25.84,15.86,-21.34,-1.85,1877788751.4300003,2.6891201148762285,-1.85185185185186,-8.991395852777508,-0.04884146457377425,0.05889,0.05543,0.05745,0.06203,0.7,0.7,1.0,83.99,100.0,5.72,100.0,3,趋势中继原型,2026-03-16,2026-03-17,12.0,12.03,2026-03-20,2026-03-23,11.07,11.0423,-7.75,-8.21,6.25,-8.92,4,cum_super_peak_dd_20pct_3d,-28716722.8,12024975.25,-0.00579,338.81,3,26,True
sz000912,2026-03-16,71.42,28.63,12.52,4.51,-19.32,-0.65,1480558695.8899994,2.8133962695649393,1.661129568106312,-1.1521233117844147,0.38155349471668054,0.04747,0.04144,0.05274,0.04806,0.45,0.55,1.0,72.27,87.14,36.96,100.0,4,趋势中继原型,2026-03-16,2026-03-17,5.81,5.8245,2026-03-18,2026-03-19,5.99,5.975,3.1,2.58,15.32,-0.34,2,violent_super_outflow,-69159659.51,11575979.01,-0.02813,697.44,1,26,True
sh600367,2026-03-16,71.27,29.91,5.31,6.9,-18.09,1.25,2637999426.4300003,2.650027316464714,8.10483870967742,9.610799248091794,0.07007764581669257,0.02391,0.01476,0.02835,0.01741,0.55,0.55,1.0,67.48,65.93,71.81,100.0,5,趋势中继原型,2026-03-16,2026-03-17,26.81,26.877,2026-03-20,2026-03-23,23.25,23.1919,-13.28,-13.71,8.17,-11.64,4,hard_stop_8pct,-222100044.11,0.0,-0.03363,0.0,3,26,True
sh603175,2026-03-17,75.88,26.8,21.81,9.23,-19.36,8.63,1769700284.33,3.9944484369084456,8.629096269418302,6.048203712106137,0.194617600324562,0.02637,0.01255,0.04817,0.03268,0.4,0.4,1.0,76.6,72.26,70.44,100.0,1,趋势中继原型,2026-03-17,2026-03-18,94.65,94.8866,2026-03-20,2026-03-23,85.05,84.8374,-10.14,-10.59,5.64,-8.27,3,violent_super_outflow,-88052973.79,78657330.94,-0.03165,211.95,2,25,True
sz002730,2026-03-17,74.99,21.33,13.36,-1.2,-16.26,2.96,858771025.42,2.189395500904091,6.1991869918699205,4.321922291433612,-0.060382081235961005,0.02466,0.03997,0.03048,0.03765,0.55,0.65,1.0,63.64,91.76,59.28,89.67,2,趋势中继原型,2026-03-17,2026-03-18,20.91,20.9623,2026-03-23,2026-03-24,22.78,22.7231,8.94,8.4,14.2,-1.43,4,cum_super_peak_dd_20pct_3d,-22340233.36,10199472.0,-0.00744,319.03,3,25,True
