symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,entry_signal_date,entry_date,gross_entry_price,exit_signal_date,exit_date,gross_exit_price,return_pct,net_return_pct,max_runup_pct,max_drawdown_pct,holding_days,exit_reason,final_cum_super_amount,final_cum_main_amount,final_cum_super_ratio,final_cum_main_ratio,final_super_peak_drawdown_pct,final_super_decline_streak,rule,future_days_available,is_mature_trade
sz002380,2026-03-05,78.2,16.28,6.52,7.05,-16.12,1.53,810228776.06,3.267386932940932,6.969253294289901,10.798359355422471,0.890966147426171,0.0251,0.04617,0.0357,0.0627,0.55,0.8,0.6,51.04,100.0,77.11,86.11,1,趋势中继原型,2026-03-05,2026-03-06,36.55,2026-03-13,2026-03-16,37.5,2.6,2.09,17.65,-1.23,6,cum_super_peak_dd_20pct_3d,-943054.22,-44367074.63,-0.00023,-0.01069,101.3,3,no_early,33,True
sh600860,2026-03-05,75.86,23.52,11.73,4.28,-13.62,5.45,1368807467.4900005,3.2808865850791995,6.796769851951545,9.54649654195832,0.0735092169788557,0.03265,0.03214,0.0431,0.05047,0.4,0.4,0.6,65.0,74.29,81.44,100.0,2,趋势中继原型,2026-03-05,2026-03-06,16.13,2026-03-17,2026-03-18,13.88,-13.95,-14.38,2.79,-11.84,8,hard_stop_8pct,-108390947.4,-158486557.86,-0.02009,-0.02938,0.0,1,no_early,33,True
sz002536,2026-03-05,73.57,27.61,16.43,9.93,-20.7,2.83,3088760219.949999,1.971623489423193,5.082339579784212,1.195332135901353,0.0039425865890612,0.02748,0.03894,0.04553,0.06011,0.45,0.45,0.6,74.45,78.57,55.3,99.05,3,趋势中继原型,2026-03-05,2026-03-06,36.2,2026-03-13,2026-03-16,36.78,1.6,1.1,15.11,-9.34,6,cum_super_peak_dd_20pct_3d,94805674.82,-377645478.93,0.00758,-0.03021,66.34,3,no_early,33,True
sz002531,2026-03-05,72.23,38.27,7.13,-0.1,-13.49,-2.98,508773130.01,0.8068936927101034,0.5785920925747368,7.1089770403733965,-0.1518639735523794,0.05421,0.04768,0.05474,0.05461,0.85,0.7,0.6,78.02,100.0,45.58,24.29,4,趋势中继原型,2026-03-05,2026-03-06,10.39,2026-03-20,2026-03-23,11.07,6.54,6.01,28.97,-2.79,11,cum_super_peak_dd_20pct_3d,144344113.3,119530307.28,0.01257,0.01041,50.03,3,no_early,33,True
sh603826,2026-03-05,70.25,26.14,11.68,3.01,-14.51,2.42,554223903.57,2.0744198209676235,3.721149317004224,12.151246118437063,-0.0107788208186615,0.03634,0.03018,0.01876,0.02214,0.5,0.4,0.6,68.32,78.64,61.95,67.38,5,趋势中继原型,2026-03-05,2026-03-06,21.92,2026-03-17,2026-03-18,23.5,7.21,6.67,20.26,-0.55,8,cum_super_peak_dd_20pct_3d,22547231.33,133530578.45,0.00853,0.05052,64.72,3,no_early,33,True
sh603057,2026-03-05,69.25,18.59,13.02,-0.15,-20.86,-0.98,252055071.42,1.6583021075242423,3.9192041000904343,20.588960066400077,0.0066869774549842,0.01977,0.05275,0.04833,0.0951,0.45,0.7,0.6,59.81,100.0,51.69,33.88,6,趋势中继原型,2026-03-05,2026-03-06,34.03,2026-03-09,2026-03-10,32.38,-4.85,-5.32,5.76,-6.11,2,violent_super_outflow,-8243861.79,-2557156.09,-0.01919,-0.00595,169.25,1,no_early,33,True
sh600149,2026-03-05,69.06,31.76,15.59,13.52,-15.06,-1.43,660370053.77,2.8040557305718554,-1.4347202295552308,0.175611458057407,0.0175032002799233,0.01739,0.01389,0.02206,0.03252,0.55,0.45,0.6,79.04,73.65,48.23,75.15,7,趋势中继原型,2026-03-05,2026-03-06,6.75,2026-03-11,2026-03-12,6.58,-2.52,-3.0,6.52,-3.85,4,cum_super_peak_dd_20pct_3d,-24115243.0,-69319186.95,-0.01771,-0.05092,1826.72,3,no_early,33,True
sz002162,2026-03-05,68.92,22.83,11.15,4.83,-14.47,-0.49,768164334.98,2.8984599097112462,-0.4934210526315818,-10.636893549884388,0.0157140501066279,0.03852,0.03713,0.0496,0.05151,0.65,0.5,0.6,63.59,95.71,32.17,83.04,8,趋势中继原型,2026-03-05,2026-03-06,5.99,2026-03-10,2026-03-11,5.43,-9.35,-9.8,0.5,-9.85,3,hard_stop_8pct,-24800374.7,-101258964.8,-0.02145,-0.08759,0.0,1,no_early,33,True
sh600150,2026-03-05,67.85,11.57,6.93,1.18,-11.54,-0.79,4064791728.800001,1.067244986683285,0.5186721991701226,8.370222685934344,-0.2629577888989524,0.03035,0.03711,0.04826,0.05472,0.6,0.7,0.6,45.35,100.0,49.4,68.91,9,趋势中继原型,2026-03-05,2026-03-06,38.56,2026-03-09,2026-03-10,37.6,-2.49,-2.98,2.31,-3.4,2,violent_super_outflow,-454713250.12,-586764427.79,-0.05409,-0.0698,517.44,1,no_early,33,True
sz002357,2026-03-05,64.84,31.26,10.54,2.43,-14.27,-2.72,489160819.99999994,1.6558359991520004,0.3117206982543585,6.0908340941942285,0.0640542562464423,-1e-05,0.03466,-0.00208,0.01813,0.4,0.65,0.6,72.54,64.78,61.15,51.15,10,趋势中继原型,2026-03-05,2026-03-06,16.25,2026-03-11,2026-03-12,15.1,-7.08,-7.54,0.06,-6.71,4,cum_super_peak_dd_20pct_3d,-12543977.8,-17555963.8,-0.01501,-0.021,390.41,3,no_early,28,True
