rule,count,win_rate,avg_return,median_return,max_return,min_return,score
pre5_return_pct >= -11.4215,53,58.49,2.27,2.52,59.71,-18.38,7.653200000000001
launch_to_entry_super_net_ratio <= 0.041,66,59.09,2.72,2.37,45.49,-11.9,7.641200000000001
launch_to_entry_main_price_divergence <= -0.0135955,53,54.72,3.39,2.52,59.71,-18.38,7.5756000000000006
launch3_super_net_ratio <= 0.09276,65,58.46,3.38,2.22,45.49,-11.9,7.572800000000001
launch_to_entry_super_net_ratio <= 0.027364,53,60.38,2.56,2.22,45.49,-11.36,7.5624
pull_to_entry_order_event_count_sum <= 179367,53,58.49,3.31,2.22,45.49,-11.36,7.5612
launch_to_entry_support_spread_avg >= -0.0212,54,53.7,2.84,2.67,59.71,-18.38,7.534
discover_to_entry_return_pct <= 6.86,53,60.38,2.35,2.22,45.49,-14.24,7.5203999999999995
discover_to_entry_order_event_count_sum <= 1.31394e+06,53,56.6,3.8,2.22,59.71,-14.52,7.508000000000001
launch_to_entry_max_daily_super_outflow_ratio >= -0.08583,65,58.46,3.05,2.22,59.71,-18.38,7.506800000000001
launch3_add_buy_ratio <= 1.44632,55,58.18,3.12,2.22,45.49,-11.9,7.4984
launch_to_entry_buy_support_avg <= 1.42482,54,55.56,1.88,2.67,45.49,-11.9,7.4908
launch_to_entry_oib_ratio <= -0.00284,41,60.98,1.87,2.22,45.49,-11.9,7.4723999999999995
pull_to_entry_sell_pressure_avg <= 1.47768,65,53.85,3.13,2.52,59.71,-18.38,7.454
pull_to_entry_add_sell_ratio <= 1.47974,65,53.85,3.13,2.52,59.71,-18.38,7.454
pullback_main_net_ratio <= 0.051915,53,56.6,1.89,2.52,45.49,-14.24,7.426
discover_to_entry_super_net_ratio <= 0.03776,65,58.46,2.63,2.22,45.49,-11.9,7.4228000000000005
hold_sell_pressure_avg <= 1.48017,65,53.85,2.96,2.52,59.71,-18.38,7.419999999999999
hold_cum_main_ratio_min >= -0.08835,66,54.55,3.35,2.37,59.71,-14.52,7.404
pullback_support_spread_avg <= 0.0601875,53,56.6,1.56,2.52,21.82,-14.24,7.36
pull_to_entry_order_event_count_sum <= 224611,65,56.92,2.89,2.22,45.49,-16.72,7.3516
pullback_super_net_ratio >= 0.02324,41,51.22,3.63,2.52,59.71,-18.38,7.3435999999999995
launch_to_entry_add_sell_ratio <= 1.41241,53,52.83,2.87,2.52,59.71,-18.38,7.320399999999999
pull_to_entry_support_spread_avg >= -0.09784,65,55.38,3.3,2.22,59.71,-18.38,7.310400000000001
pull_to_entry_oib_ratio >= -0.09784,65,55.38,3.3,2.22,59.71,-18.38,7.310400000000001
pull_to_entry_support_spread_avg <= 0.089731,53,56.6,1.3,2.52,21.82,-14.24,7.308
pull_to_entry_oib_ratio <= 0.089731,53,56.6,1.3,2.52,21.82,-14.24,7.308
launch_to_entry_max_drawdown_pct <= -1.498,65,58.46,2.05,2.22,45.49,-18.38,7.306800000000001
hold_cum_main_ratio_max_drawdown <= -0.0194,65,53.85,3.73,2.22,59.71,-14.52,7.274000000000001
launch_to_entry_add_sell_ratio <= 1.32919,41,53.66,2.3,2.52,59.71,-18.38,7.272799999999999
pull_to_entry_buy_support_avg <= 1.45053,53,54.72,1.84,2.52,45.49,-14.24,7.265600000000001
launch_to_entry_sell_pressure_avg <= 1.35723,41,53.66,2.22,2.52,45.49,-18.38,7.256799999999999
hold_add_buy_ratio <= 1.32493,42,54.76,1.02,2.67,21.82,-18.38,7.2547999999999995
rank >= 5,46,56.52,1.8,2.37,45.49,-18.38,7.251600000000001
launch_to_entry_main_positive_day_ratio <= 0.75,70,54.29,2.67,2.37,59.71,-18.38,7.2472
discover_to_entry_cancel_sell_ratio >= 0.000835,41,53.66,2.17,2.52,45.49,-14.24,7.2467999999999995
launch_to_entry_return_pct <= 7.21,42,59.52,2.42,2.0,45.49,-14.24,7.2456000000000005
launch_to_entry_super_positive_day_ratio >= 0.5714,44,54.55,1.75,2.52,30.9,-18.38,7.234
pull_to_entry_cancel_sell_ratio >= 0.002505,41,53.66,2.08,2.52,45.49,-11.9,7.2288
launch_to_entry_add_buy_ratio <= 1.38698,45,53.33,2.15,2.52,45.49,-11.9,7.2164
discover_to_entry_sell_pressure_avg <= 1.35057,41,53.66,1.96,2.52,45.49,-18.38,7.2048
discover_to_entry_max_daily_super_outflow_ratio >= -0.08486,55,56.36,2.37,2.22,59.71,-18.38,7.2028
discover_to_entry_max_daily_main_outflow_ratio <= -0.0621625,53,54.72,2.76,2.22,59.71,-18.38,7.1495999999999995
discover_to_entry_cancel_buy_ratio >= 0.010465,41,53.66,1.47,2.52,45.49,-18.38,7.106799999999999
launch3_return_pct >= 6.875,41,53.66,2.7,2.22,59.71,-18.38,7.0528
discover_to_entry_amount_anomaly_avg <= 0.9237,41,60.98,4.67,1.19,59.71,-11.9,7.002400000000001
discover_to_entry_add_buy_ratio <= 1.42335,53,54.72,2.02,2.22,45.49,-11.9,7.0016
discover_to_entry_add_sell_ratio <= 1.44616,65,52.31,2.97,2.22,59.71,-18.38,6.9988
launch3_super_net_ratio >= 0.02466,42,54.76,3.66,1.85,59.71,-18.38,6.9628000000000005
rank >= 4,57,54.39,1.7,2.22,45.49,-18.38,6.911200000000001
pullback_main_net_ratio <= 0.08894,65,53.85,1.9,2.22,45.49,-14.24,6.908
discover_to_entry_return_pct <= 10.27,66,57.58,2.91,1.71,59.71,-14.24,6.8984
discover_to_entry_oib_ratio >= -0.039568,65,52.31,2.42,2.22,59.71,-18.38,6.8888
discover_to_entry_max_daily_super_outflow_ratio >= -0.07338,43,51.16,2.88,2.22,59.71,-18.38,6.888799999999999
launch_to_entry_amount_anomaly_avg <= 1.3384,68,57.35,2.73,1.71,59.71,-14.52,6.844
launch3_return_pct >= 4.992,65,52.31,2.14,2.22,59.71,-18.38,6.8328
discover_to_entry_sell_pressure_avg <= 1.45329,65,52.31,2.11,2.22,45.49,-18.38,6.8267999999999995
discover_to_entry_days >= 5,72,56.94,2.7,1.71,59.71,-18.38,6.8052
discover_to_entry_main_positive_day_ratio <= 0.75,70,55.71,2.58,1.71,59.71,-18.38,6.6828
pullback_depth_from_launch_peak_pct <= -5.39,54,57.41,1.58,1.71,45.49,-18.38,6.618799999999999
discover_to_entry_amount_avg <= 1.42141e+09,41,58.54,3.56,1.19,59.71,-16.72,6.5852
pullback_support_spread_avg <= 0.01585,42,54.76,1.56,1.85,21.82,-14.24,6.542800000000001
